month_dt,cumulative_approved,monthly_approval_increment,sdn_n_posts,sdn_mean_polarity
2020-09-01,4140,2924.0,10,0.098413
2021-08-01,7088,2948.0,90,0.08176022222222222
2021-10-01,8115,1027.0,178,0.12231433707865168
2022-01-01,67500,59385.0,64,0.13990721875
2022-04-01,145000,77500.0,94,0.13805922340425533
2022-09-01,175000,30000.0,27,0.09039707407407407
2022-10-01,192000,17000.0,4,0.287379
2023-01-01,388000,196000.0,50,0.14494622
2023-06-01,615000,227000.0,51,0.09776043137254901
2023-10-01,715000,100000.0,38,0.10456034210526316
2024-01-01,871000,156000.0,89,0.09470784269662921
2024-08-01,1000000,129000.0,20,0.2733335
2025-03-01,1130000,30000.0,214,0.0791873785046729
2025-09-01,1183600,53600.0,31,0.10582164516129032
