institution,state,city,n_unique_programs,n_specialties,total_quota_5y,annual_residents_pgy1,avg_fill_rate,ntee_code,ntee_top_level,propublica_sub_name,university_affiliation,academic_med_center,pslf_class_propublica,subsec_code
AHS Morristown Med Ctr,NJ,Morristown,8,6,315,63.0,0.9135416666666666,,,,False,False,no_propublica_match,
AHS Overlook Hospital,NJ,Summit,3,2,111,22.2,0.9833333333333333,,,,False,False,no_propublica_match,
AU-UGA Medical Partnership,GA,Athens,2,1,60,12.0,0.9727272727272727,,,,False,False,no_propublica_match,
Abbott Northwestern Hosp,MN,Minneapolis,1,1,55,11.0,1.0,T30,T,Abbott Northwestern Hospital Foundation,True,False,pslf_eligible_501c3,3.0
Abington Mem Hosp,PA,Abington,6,4,222,44.4,1.0,,,,False,False,no_propublica_match,
Abrazo Health Network,AZ,Phoenix,5,5,233,46.6,0.938047619047619,,,,False,False,no_propublica_match,
AccessHealth,WV,Beckley,1,1,16,3.2,0.75,E80,E,Accesshealth Horry Inc,False,False,pslf_eligible_501c3,3.0
Adena Health System,OH,Chillicothe,3,3,72,14.4,0.8076190476190476,A80,A,Adena Historical Society Dba The Adena Museum,False,False,pslf_eligible_501c3,3.0
AdventHealth Redmond,GA,Rome,3,2,152,30.4,0.8232600732600732,,,,False,False,no_propublica_match,
Adventist Health Glendale,CA,Glendale,1,1,40,8.0,0.85,E220,E,Glendale Adventist Medical Center Adventist Health Glendale,False,False,pslf_eligible_501c3,3.0
Adventist Health Hanford,CA,Hanford,5,2,92,18.4,0.90625,,,Adventist Health Volunteer Guild Of Hanford,False,False,pslf_eligible_501c3,3.0
Adventist Health Ukiah Valley,CA,Ukiah,1,1,31,6.2,0.7904761904761906,,,Ukiah Adventist Hospital Adventist Health Ukiah Valley,False,False,pslf_eligible_501c3,3.0
Adventist Health White Memorial,CA,Los Angeles,4,3,115,23.0,0.8666666666666666,E220,E,White Memorial Medical Center Adventist Health White Memorial,False,False,pslf_eligible_501c3,3.0
Advocate Health Care,IL,Oak Brook,20,9,823,164.6,0.9847361858000157,F33,F,Advocare Advocates Who Care Inc,False,False,pslf_eligible_501c3,3.0
Aiken Regional Med Ctrs,SC,Aiken,2,2,44,8.8,1.0,,,,False,False,no_propublica_match,
Akron Children's,OH,Akron,1,1,118,23.6,0.9153846153846154,,,Akron Childrens Museum,False,False,pslf_eligible_501c3,3.0
Akron General Med Ctr,OH,Akron,8,7,231,46.2,0.9416666666666667,E30J,E,Akron General Foundation,False,False,pslf_eligible_501c3,3.0
Alameda Health Sys-Highland Hosp,CA,Oakland,4,2,212,42.4,0.9954545454545455,,,,False,False,no_propublica_match,
Albany Med Ctr,NY,Albany,24,19,596,119.2,0.9684343434343434,A80,A,Albany Historical Society Albany Ca,False,False,pslf_eligible_501c3,3.0
Albert Einstein Healthcare Network,PA,Philadelphia,1,1,1,0.2,1.0,,,Albert Einstein Academies,False,False,pslf_eligible_501c3,3.0
Albert Einstein Med Ctr,PA,Philadelphia,3,3,7,1.4,1.0,,,Albert Einstein Academies,False,False,pslf_eligible_501c3,3.0
Allegheny Gen Hosp,PA,Pittsburgh,19,14,524,104.8,0.9149425287356321,,,,False,False,pslf_eligible_501c3,3.0
Allegheny Health Network St Vincent HC,PA,Erie,2,2,60,12.0,0.75,,,,False,False,no_propublica_match,
Allina Health,MN,St Paul,1,1,35,7.0,1.0,E210,E,Allina Health System,False,False,pslf_eligible_501c3,3.0
AltaMed Health Services,CA,Commerce,1,1,30,6.0,0.9666666666666666,E320,E,Altamed Health Services Corp,False,False,pslf_eligible_501c3,3.0
Altru Health System,ND,Grand Forks,15,8,317,63.4,0.9247685185185185,E22I,E,Altru Alliance,False,False,pslf_eligible_501c3,3.0
Amita St Francis Hosp,IL,Evanston,1,1,12,2.4,0.9166666666666667,,,St Francis Church St Francis School,False,False,no_propublica_match,
AnMed Health,SC,Anderson,2,2,70,14.0,0.8560606060606061,E220,E,Anmed Health,False,False,pslf_eligible_501c3,3.0
Anne Arundel Med Ctr,MD,Annapolis,4,3,112,22.4,0.9375,F21,F,Recovery Anne Arundel,False,False,pslf_eligible_501c3,3.0
Appalachian OPTIC,KY,Pikeville,3,2,32,6.4,0.7523809523809524,,,,False,False,no_propublica_match,
Appalachian Regional Healthcare,KY,Lexington,1,1,34,6.8,1.0,T50,T,Appalachian Regional Empowermentauthority,False,False,pslf_eligible_501c3,3.0
Arnot Ogden Med Ctr,NY,Elmira,7,7,183,36.6,0.9016666666666667,E22I,E,Arnot Ogden Auxiliary,False,False,pslf_eligible_501c3,3.0
Arrowhead Reg Med Ctr,CA,Colton,20,12,528,105.6,0.941482128982129,,,,False,False,no_propublica_match,
Ascension Providence/MSUCHM,MI,Southfield,2,1,20,4.0,0.9166666666666666,B420,B,Providence College,True,False,no_propublica_match,
Ascension Resurrection,IL,Chicago,3,3,165,33.0,1.0,,,Resurrection Ascension Catholic Academy,False,False,pslf_eligible_501c3,3.0
Ascension St Alexius,IL,Hoffman Estates,1,1,18,3.6,1.0,,,,False,False,no_propublica_match,
Ascension St Francis,IL,Evanston,4,3,163,32.6,0.968627450980392,E220,E,Ascension St Francis Hospital Inc,False,False,pslf_eligible_501c3,3.0
Ascension St Joseph,IL,Chicago,7,5,215,43.0,0.94421768707483,,,Ascension Living St Josephs Place,False,False,pslf_eligible_501c3,3.0
Ascension St Mary,IL,Chicago,1,1,60,12.0,0.8333333333333333,E220,E,St Marys Health Inc Dba Ascension,False,False,pslf_eligible_501c3,3.0
Ascension St Vincent Hosp,IN,Indianapolis,13,8,336,67.2,0.9607988165680473,,,Ascension Living St Vincent Pace Inc,False,False,pslf_eligible_501c3,3.0
Atlanta Med Ctr,GA,Atlanta,5,4,75,15.0,0.9,B99,B,Canopy Atlanta,True,False,pslf_eligible_501c3,3.0
AtlantiCare Reg Med Ctr,NJ,Atlantic City,3,3,111,22.2,0.9166666666666666,L20,L,Vision Atlantic Inc,False,False,no_propublica_match,
Atlantic Health System,NJ,Morristown,2,2,68,13.6,0.8690476190476192,L20,L,Vision Atlantic Inc,False,False,pslf_eligible_501c3,3.0
Atrium Health Cabarrus,NC,Concord,1,1,40,8.0,1.0,,,,False,False,no_propublica_match,
Atrium Health Navicent Med Ctr,GA,Macon,7,5,167,33.4,0.8516129032258064,,,,False,False,no_propublica_match,
Augusta Health,VA,Fisherville,1,1,22,4.4,1.0,E220,E,Augusta Health Care Inc Augusta Medical Center,False,False,pslf_eligible_501c3,3.0
Aultman Hospital/NEOMED,OH,Canton,5,5,116,23.2,0.9378881987577641,,,,False,False,no_propublica_match,
Aurora Health Care/ASMC,WI,Milwaukee,4,3,106,21.2,0.8970588235294118,,,,False,False,no_propublica_match,
Aurora St Lukes Medical Ctr,WI,Millwaukee,4,4,128,25.6,0.9708333333333334,,,St Lukes,False,False,no_propublica_match,
Authority Health GME,MI,Detroit,18,7,503,100.6,0.881012658227848,L20Z,L,Westside Health Authority,False,False,pslf_eligible_501c3,3.0
Aventura Hospital,FL,Aventura,7,6,54,10.8,0.9,B92,B,Aventura Reads,True,False,pslf_eligible_501c3,3.0
B I Deaconess Med Ctr,MA,Boston,25,15,833,166.6,0.9979612640163098,X99,X,Massachusetts Baptist Deacons & Deaconess Association,False,False,no_propublica_match,
Baptist Health,AR,North Little Rock,4,4,208,41.6,0.9052631578947368,E220,E,Baptist Health,False,False,pslf_eligible_501c3,3.0
Baptist Health Deaconess,KY,Madisonville,1,1,29,5.8,0.9,E220,E,Baptist Health Deaconess Madisonville Inc,False,False,pslf_eligible_501c3,3.0
Baptist Mem Hosp DeSoto,MS,Southaven,6,4,73,14.6,0.9404761904761905,,,,False,False,no_propublica_match,
Baptist Mem Hosp Golden Triangle,MS,Columbus,1,1,33,6.6,0.8333333333333333,,,,False,False,no_propublica_match,
Baptist Mem Hosp North,MS,Oxford,2,2,89,17.8,0.8733333333333334,,,,False,False,no_propublica_match,
Baptist Mem Med Education,AR,Jonesboro,17,9,465,93.0,0.8852258852258853,,,,False,False,no_propublica_match,
Barnes-Jewish Hosp,MO,St Louis,35,19,1102,220.4,0.9810457516339869,E220,E,Barnes Jewish Hospital,True,True,pslf_eligible_501c3,3.0
Barrow Neurological Inst at SJHMC,AZ,Phoenix,3,2,60,12.0,1.0,,,,False,False,no_propublica_match,
Bassett Med Ctr,NY,Cooperstown,6,3,133,26.6,0.8415637860082305,D60,D,All Bassets Cherished Basset Hound Rescue,False,False,pslf_eligible_501c3,3.0
Baton Rouge Gen Med Ctr,LA,Baton Rouge,2,2,100,20.0,0.95,,,,False,False,pslf_eligible_501c3,3.0
BayCare Health System,FL,Clearwater,11,7,223,44.6,0.9532726045883941,E20,E,Baycare Pasco Inc,False,False,pslf_eligible_501c3,3.0
Bayfront Med Ctr,FL,St Petersburg,2,2,60,12.0,1.0,S200,S,Bayfront Nato Inc,False,False,pslf_eligible_501c3,3.0
Bayhealth Med Ctr,DE,Dover,5,4,137,27.4,0.8151709401709402,E22I,E,Bayhealth Foundation,False,False,pslf_eligible_501c3,3.0
Baylor Coll Med-Houston,TX,Houston,51,23,1560,312.0,0.9600864800068499,X50,X,Kwekabaw Buddhist Society Of Housto Houston Tx,True,False,no_propublica_match,
Baylor S&W All Saints Med Ctr,TX,Fort Worth,7,6,217,43.4,1.0,,,,False,False,no_propublica_match,
Baylor S&W Med Ctr-Round Rock,TX,Round Rock,2,2,52,10.4,0.9270833333333333,,,,False,False,no_propublica_match,
Baylor S&W-Baylor COM Temple,TX,Temple,23,16,585,117.0,0.9779086892488955,,,,False,False,no_propublica_match,
Baylor Scott & White Med Ctr,TX,Temple,2,2,12,2.4,1.0,E21,E,Baylor Scott & White Health,False,False,pslf_eligible_501c3,3.0
Baylor Univ Med Ctr-Dallas,TX,Dallas,15,10,337,67.4,0.9657960199004975,,,,True,False,pslf_eligible_501c3,3.0
Baystate Franklin Med Ctr,MA,Greenfield,1,1,17,3.4,1.0,,,Baystate Franklin Auxiliary,False,False,pslf_eligible_501c3,3.0
Beebe Healthcare,DE,Lewes,1,1,12,2.4,0.8333333333333334,,,Bahais Of Beebe 8253 Beebe,False,False,pslf_eligible_501c3,3.0
Benefis Hospital,MT,Great Falls,1,1,10,2.0,1.0,,,Security Benefit Voluntary Employee Benefits Trust,False,False,pslf_eligible_501c3,3.0
Berkshire Med Ctr,MA,Pittsfield,5,3,133,26.6,0.94,,,Berkshire Free Library,False,False,pslf_eligible_501c3,3.0
Bethesda Hospital,OH,Cincinnati,1,1,35,7.0,1.0,,,,False,False,pslf_eligible_gov,
Billings Clinic,MT,Billings,6,3,162,32.4,0.8472075249853027,E210,E,Billings Clinic,False,False,pslf_eligible_501c3,3.0
Bon Secours Health System,VA,Midlothian,19,12,473,94.6,0.9289583333333333,,,Bon Secours Inc,False,False,pslf_eligible_501c3,3.0
Borinquen Health Care Ctr,FL,Miami,1,1,20,4.0,1.0,,,,False,False,no_propublica_match,
Boston Univ Med Ctr,MA,Boston,29,17,753,150.6,0.9370509607351714,,,,True,False,pslf_eligible_501c3,3.0
Bridgeport Hospital,CT,Bridgeport,6,4,149,29.8,0.9565217391304348,E220,E,Bridgeport Hospital,False,False,pslf_eligible_501c3,3.0
Brigham & Womens Hosp,MA,Boston,6,4,144,28.8,1.0,T21,T,Brigham City Womens Club Afghann Lcc,False,True,pslf_eligible_501c3,3.0
Broadlawns Med Ctr,IA,Des Moines,11,6,261,52.2,0.8725961538461539,E220,E,Broadlawns Medical Center,False,False,pslf_eligible_501c3,3.0
BronxCare Health System,NY,Bronx,5,4,168,33.6,0.9316666666666666,E220,E,Bronxcare Health System,False,False,pslf_eligible_501c3,3.0
Brooklyn Hosp Ctr,NY,Brooklyn,7,6,333,66.6,0.9071355031040629,,,,False,False,pslf_eligible_501c3,3.0
Broward Health Med Ctr,FL,Fort Lauderdale,14,11,472,94.4,0.9571694971694972,F99,F,Broward Behavorial Health Coalition Inc,False,False,pslf_eligible_501c3,3.0
Brown Univ/Butler Hospital,RI,Providence,29,17,1006,201.2,0.9707379134860051,,,,True,False,no_propublica_match,
Bryn Mawr Hospital,PA,Bryn Mawr,2,1,31,6.2,0.8571428571428571,B420,B,Bryn Mawr College,True,False,pslf_eligible_501c3,3.0
Burke Rehabilitation Hosp,NY,White Plains,2,1,36,7.2,1.0,E20,E,Burke Rehabilitation Hospital,False,False,pslf_eligible_501c3,3.0
Butler Memorial Hospital,PA,Butler,1,1,4,0.8,1.0,T22Z,T,Huddleston Butler Memorial Foundation,False,False,pslf_eligible_501c3,3.0
CHI St Vincent Hot Springs,AR,Hot Springs,1,1,42,8.4,0.8833333333333332,E21,E,Chi St Vincent Hot Springs,False,False,pslf_eligible_501c3,3.0
CHRISTUS Health,TX,Irving,4,3,230,46.0,0.8954887218045112,E210,E,Christus Health,False,False,pslf_eligible_501c3,3.0
CMSRU/Cooper University Hospital,NJ,Camden,23,17,491,98.2,0.9613861386138614,,,,True,True,no_propublica_match,
Cambridge Health Alliance,MA,Cambridge,4,4,155,31.0,1.0,E11,E,Cambridge Health Alliance Foundation Inc,False,False,pslf_eligible_501c3,3.0
Campbell University,NC,Lillington,18,8,677,135.4,0.7114889795612687,B430,B,Campbell University,True,True,pslf_eligible_501c3,3.0
Canton Med Ed Fdn/NEOMED,OH,Canton,1,1,65,13.0,1.0,,,,False,False,no_propublica_match,
Cape Fear Valley Health,NC,Fayetteville,6,6,64,12.8,0.8270944741532977,B11,B,Methodist University Cape Fear Valley Health School Of Medicine I,True,False,pslf_eligible_501c3,3.0
Capital Health Reg Med Ctr,NJ,Trenton,5,5,220,44.0,0.901923076923077,,,,False,False,no_propublica_match,
CarePoint Health,NJ,Hoboken,5,4,159,31.8,0.707093253968254,E32,E,Carepoint Health Foundation Inc,False,False,pslf_eligible_501c3,3.0
Carle Foundation Hosp,IL,Urbana,12,7,170,34.0,0.874113475177305,E210,E,The Carle Foundation,False,False,pslf_eligible_501c3,3.0
Carolinas Med Ctr,NC,Charlotte,17,11,455,91.0,0.9523809523809523,N70,N,Conference Carolinas,False,False,pslf_eligible_501c3,3.0
Casa Colina Hosp,CA,Pomona,1,1,15,3.0,1.0,F020,F,Casa Colina Inc,False,False,pslf_eligible_501c3,3.0
Case Western/Univ Hosps Cleveland Med Ctr,OH,Cleveland,45,21,998,199.6,0.9717200251098556,,,,True,False,no_propublica_match,
Cayuga Med Ctr,NY,Ithaca,2,1,50,10.0,1.0,N63,N,Cayuga Ball League,False,False,pslf_eligible_501c3,3.0
Cedars-Sinai Med Ctr,CA,West Hollywood,20,13,472,94.4,0.9677777777777777,E220,E,Cedars Sinai Medical Center,False,True,pslf_eligible_501c3,3.0
Center for Family Medicine,SD,Sioux Falls,2,1,55,11.0,0.8666666666666666,B54Z,B,Center For Family Medicine,True,False,pslf_eligible_501c3,3.0
Centerstone,FL,Bradenton,1,1,23,4.6,1.0,L21,L,Centerstone Unlimited Centerstone,False,False,pslf_eligible_501c3,3.0
Centro Medico Menonita Cayey,PR,Cayey,2,2,14,2.8,1.0,,,,False,False,no_propublica_match,
Charles R Drew University,CA,Los Angeles,4,4,114,22.8,0.984375,,,,True,False,no_propublica_match,
Charleston Area Med Ctr,WV,Charleston,15,11,284,56.8,0.8335137085137084,,,Charleston Area Ceos,False,False,pslf_eligible_501c3,3.0
Cheshire Med Ctr/Dartmouth Health,NH,Keene,1,1,12,2.4,0.8333333333333334,,,,False,False,no_propublica_match,
Childrens Hosp-Philadelphia,PA,Philadelphia,9,3,279,55.8,0.9540229885057472,,,,False,False,pslf_eligible_501c3,3.0
Childrens Hospital-Boston,MA,Boston,10,4,284,56.8,0.975609756097561,,,,False,False,pslf_eligible_501c3,3.0
Childrens Hospital-LA,CA,Los Angeles,3,2,193,38.6,0.9930555555555555,,,,False,False,pslf_eligible_501c3,3.0
Childrens Hospital-Oakland,CA,Oakland,2,1,148,29.6,0.9764635603345282,,,,False,False,pslf_eligible_501c3,3.0
Childrens Mercy Hospital,MO,Kansas City,3,2,153,30.6,0.8944444444444444,E240,E,Childrens Mercy Hospital,False,False,pslf_eligible_501c3,3.0
Childrens National Med Ctr,DC,Washington,11,4,209,41.8,0.9705882352941176,,,National Childrens Museum,False,False,pslf_eligible_501c3,3.0
