specialty,year,n_sdn_posts,sdn_mean_polarity,sdn_sd_polarity,sdn_pct_negative,fill_rate,n_programs,total_quota
Family Medicine,2021,21,0.13138,0.00790,0.00000,0.92692,725.00000,4803.00000
Family Medicine,2023,31,0.12728,0.01891,0.00000,0.88565,761.00000,5046.00000
Family Medicine,2024,90,0.15279,0.09508,0.00000,0.87816,786.00000,5179.00000
Family Medicine,2025,51,0.05587,0.05275,0.00000,0.84990,808.00000,5323.00000
Internal Medicine,2021,20,0.24727,0.11394,0.00000,0.94776,1018.00000,11274.00000
Internal Medicine,2022,33,0.18420,0.08572,0.00000,0.94654,1053.00000,11559.00000
Internal Medicine,2023,20,0.11520,0.13097,0.00000,0.95572,1078.00000,11857.00000
Internal Medicine,2024,20,0.16393,0.04079,0.00000,0.94869,1093.00000,12298.00000
Internal Medicine,2025,41,0.06462,0.06565,0.00000,0.96098,1136.00000,12915.00000
Pediatrics,2021,20,0.09846,0.03873,0.00000,0.98533,251.00000,3000.00000
Pediatrics,2023,21,0.11278,0.02855,0.00000,0.97033,267.00000,3067.00000
Pediatrics,2024,11,0.19849,0.01723,0.00000,0.91930,272.00000,3160.00000
Pediatrics,2025,31,0.10799,0.02311,0.00000,0.95275,269.00000,3217.00000
Dermatology,2021,64,0.15386,0.17008,0.00000,0.98861,160.00000,527.00000
Emergency Medicine,2021,22,0.09260,0.03667,0.00000,0.99507,272.00000,2840.00000
Emergency Medicine,2022,10,0.32222,0.00000,0.00000,0.92503,277.00000,2921.00000
Emergency Medicine,2023,43,0.11488,0.08417,0.00000,0.81595,286.00000,3010.00000
Emergency Medicine,2024,31,0.09197,0.03863,0.00000,0.95539,291.00000,3026.00000
Emergency Medicine,2025,32,0.07202,0.03407,0.00000,0.97881,290.00000,3068.00000
Psychiatry,2021,54,0.15712,0.18525,0.00000,0.99843,313.00000,1907.00000
Psychiatry,2023,41,0.17826,0.08150,0.00000,0.99029,366.00000,2162.00000
Psychiatry,2025,30,0.12234,0.09621,0.00000,0.99664,401.00000,2380.00000
Anesthesiology,2023,52,0.09634,0.10585,0.11538,0.99658,277.00000,2047.00000
Anesthesiology,2024,22,0.12823,0.13298,0.04545,0.99953,283.00000,2135.00000
Anesthesiology,2025,32,0.12332,0.06389,0.00000,0.99735,291.00000,2266.00000
Radiology-Diagnostic,2021,20,0.13295,0.00335,0.00000,0.98413,225.00000,1134.00000
Radiology-Diagnostic,2022,20,0.17560,0.09466,0.00000,0.99913,224.00000,1151.00000
Radiology-Diagnostic,2023,13,0.19976,0.05061,0.00000,1.00000,218.00000,1172.00000
Radiology-Diagnostic,2025,10,0.21423,0.00000,0.00000,0.98375,222.00000,1231.00000
Pathology,2021,41,0.20198,0.12300,0.00000,0.96382,155.00000,608.00000
Pathology,2022,13,0.14516,0.17267,0.07692,0.98251,156.00000,629.00000
Pathology,2024,13,0.09726,0.02308,0.00000,0.98885,162.00000,628.00000
Pathology,2025,53,0.12897,0.07744,0.00000,0.99515,162.00000,619.00000
Obstetrics-Gynecology,2024,10,0.20369,0.00000,0.00000,0.99229,307.00000,1557.00000
Orthopaedic Surgery,2021,12,0.12120,0.02550,0.00000,0.99769,207.00000,865.00000
