event,type,window_days,pre_share,post_share,delta_pp,t,p,n_pre_months,n_post_months
Payments Restart,operational,60,0.2190,0.2456,2.6638,,,1,2
Payments Restart,operational,90,0.1641,0.2270,6.2828,-1.0810,0.4451,2,3
MOHELA Transition,operational,60,0.0795,0.1408,6.1233,,,1,2
MOHELA Transition,operational,90,0.0877,0.1487,6.0987,-2.1906,0.1405,2,3
SAVE Forbearance,operational,60,0.1862,0.1390,-4.7165,1.2028,0.4389,2,2
SAVE Forbearance,operational,90,0.1775,0.0927,-8.4777,1.6205,0.2395,3,3
PSLF Form Online,operational,60,0.0492,0.0918,4.2607,,,1,2
PSLF Form Online,operational,90,0.1266,0.1342,0.7553,-0.0850,0.9414,2,3
Limited Waiver,policy,60,0.0786,0.1786,10.0027,-4.4849,0.1128,2,2
Limited Waiver,policy,90,0.0699,0.1276,5.7688,-1.0825,0.3776,3,3
Biden Mass Forgive,policy,60,0.1408,0.2489,10.8167,-1.1365,0.4047,2,2
Biden Mass Forgive,policy,90,0.1204,0.2429,12.2519,-2.0791,0.1166,3,3
Biden v Nebraska,policy,60,0.1266,0.0918,-3.4843,0.4388,0.7313,2,2
Biden v Nebraska,policy,90,0.1311,0.1342,0.3097,-0.0495,0.9629,3,3
Trump PSLF EO,policy,60,0.1780,0.1455,-3.2537,0.7583,0.5788,2,2
Trump PSLF EO,policy,90,0.1675,0.1044,-6.3064,1.2838,0.3160,3,3
