institution,state,fy,normalized_query,parent_query,matched_org_name,total_award_amount,n_projects,match_strategy
AHS Morristown Med Ctr,NJ,2023,AHS MORRISTOWN MEDICAL CENTER,AHS MORRISTOWN,,0.0,0,no_match
AHS Overlook Hospital,NJ,2023,AHS OVERLOOK HOSPITAL,AHS OVERLOOK,,0.0,0,no_match
AU-UGA Medical Partnership,GA,2023,AU-UGA MEDICAL PARTNERSHIP,,,0.0,0,no_match
Abbott Northwestern Hosp,MN,2023,ABBOTT NORTHWESTERN HOSP,,,0.0,0,no_match
Abington Mem Hosp,PA,2023,ABINGTON MEMORIAL HOSPITAL,ABINGTON,,0.0,0,no_match
Abrazo Health Network,AZ,2023,ABRAZO HEALTH NETWORK,ABRAZO,,0.0,0,no_match
AccessHealth,WV,2023,ACCESSHEALTH,,,0.0,0,no_match
Adena Health System,OH,2023,ADENA HEALTH SYSTEM,ADENA,,0.0,0,no_match
AdventHealth Redmond,GA,2023,ADVENTHEALTH REDMOND,,,0.0,0,no_match
Adventist Health Glendale,CA,2023,ADVENTIST HEALTH GLENDALE,,,0.0,0,no_match
Adventist Health Hanford,CA,2023,ADVENTIST HEALTH HANFORD,,,0.0,0,no_match
Adventist Health Ukiah Valley,CA,2023,ADVENTIST HEALTH UKIAH VALLEY,,,0.0,0,no_match
Adventist Health White Memorial,CA,2023,ADVENTIST HEALTH WHITE MEMORIAL,ADVENTIST HEALTH WHITE,,0.0,0,no_match
Advocate Health Care,IL,2023,ADVOCATE HEALTH CARE,,,0.0,0,no_match
Aiken Regional Med Ctrs,SC,2023,AIKEN REGIONAL MED CTRS,AIKEN,,0.0,0,no_match
Akron Children's,OH,2023,AKRON CHILDREN'S,,CHILDREN'S HOSPITAL MED CTR OF AKRON,442612.0,1,full_normalized
Akron General Med Ctr,OH,2023,AKRON GENERAL MEDICAL CENTER,AKRON GENERAL,,0.0,0,no_match
Alameda Health Sys-Highland Hosp,CA,2023,ALAMEDA HEALTH SYS-HIGHLAND HOSP,,,0.0,0,no_match
Albany Med Ctr,NY,2023,ALBANY MEDICAL CENTER,ALBANY,ALBANY MEDICAL COLLEGE,38699512.0,96,parent_institution
Albert Einstein Healthcare Network,PA,2023,ALBERT EINSTEIN HEALTHCARE NETWORK,,ALBERT EINSTEIN HEALTHCARE NETWORK,2016433.0,5,full_normalized
Albert Einstein Med Ctr,PA,2023,ALBERT EINSTEIN MEDICAL CENTER,ALBERT EINSTEIN,ALBERT EINSTEIN COLLEGE OF MEDICINE,234517096.0,465,parent_institution
Allegheny Gen Hosp,PA,2023,ALLEGHENY GEN HOSP,,,0.0,0,no_match
Allegheny Health Network St Vincent HC,PA,2023,ALLEGHENY HEALTH NETWORK SAINT VINCENT HC,ALLEGHENY,ALLEGHENY-SINGER RESEARCH INSTITUTE,249570.0,1,parent_institution
Allina Health,MN,2023,ALLINA HEALTH,,,0.0,0,no_match
AltaMed Health Services,CA,2023,ALTAMED HEALTH SERVICES,,ALTAMED HEALTH SERVICES CORPORATION,126554.0,2,full_normalized
Altru Health System,ND,2023,ALTRU HEALTH SYSTEM,ALTRU,ALTRUMED LLC,319930.0,1,parent_institution
Amita St Francis Hosp,IL,2023,AMITA SAINT FRANCIS HOSP,,,0.0,0,no_match
AnMed Health,SC,2023,ANMED HEALTH,,,0.0,0,no_match
