institution,state,city
Mobile Infirmary Med Ctr,AL,Mobile
South Baldwin Reg Med Ctr,AL,Foley
Southeast Health,AL,Dothan
St Vincents East,AL,Birmingham
Thomas Hospital,AL,Fairhope
UAB Selma Fam Med Res,AL,Selma
Providence Hospital,AK,Anchorage
U Washington Soldotna,AK,Soldotna
Abrazo Health Network,AZ,Phoenix
Barrow Neurological Inst at SJHMC,AZ,Phoenix
Creighton University,AZ,Phoenix
Dignity East Valley,AZ,Chandler
El Rio Health,AZ,Tucson
HonorHealth,AZ,Scottsdale
MHC Healthcare,AZ,Marana
Mayo Clinic School of Grad Med Educ,AZ,Scottsdale
Midwestern University OPTI,AZ,Phoenix
North Country HealthCare,AZ,Flagstaff
Phoenix Childrens Hospital,AZ,Phoenix
Tucson Hospitals Med Ed,AZ,Tucson
Yuma Regional Med Ctr,AZ,Yuma
Baptist Health,AR,North Little Rock
Baptist Mem Med Education,AR,Jonesboro
CHI St Vincent Hot Springs,AR,Hot Springs
Conway Reg Health Sys,AR,Conway
St Bernards Med Ctr,AR,Jonesboro
UAMS Regional Centers,AR,Fayetteville
Unity Health,AR,Searcy
White River Health System,AR,Batesville
Adventist Health Glendale,CA,Glendale
Adventist Health Hanford,CA,Hanford
Adventist Health Ukiah Valley,CA,Ukiah
Adventist Health White Memorial,CA,Los Angeles
Alameda Health Sys-Highland Hosp,CA,Oakland
AltaMed Health Services,CA,Commerce
Arrowhead Reg Med Ctr,CA,Colton
Casa Colina Hosp,CA,Pomona
Cedars-Sinai Med Ctr,CA,West Hollywood
Charles R Drew University,CA,Los Angeles
Childrens Hospital-LA,CA,Los Angeles
Childrens Hospital-Oakland,CA,Oakland
City Of Hope,CA,Duarte
Clinica Sierra Vista,CA,Bakersfield
College Med Ctr,CA,Long Beach
Community Mem Health Sys,CA,Ventura
Contra Costa Reg Med Ctr,CA,Martinez
Desert Regional Med Ctr,CA,Palm Springs
Dignity Methodist Hosp-Sacramento,CA,Sacramento
Dignity Northridge Hosp Med Ctr,CA,Northridge
Eisenhower Med Ctr,CA,Rancho Mirage
Emanate Health,CA,West Covina
Family Health Ctrs of San Diego,CA,San Diego
Gracelight Community Health,CA,Los Angeles
Harbor-UCLA Med Ctr,CA,Torrance
Huntington Memorial Hosp,CA,Pasadena
John Muir Health,CA,Walnut Creek
KPC Health Hemet Valley Med Ctr,CA,Corona
Kaiser Permanente-Central Valley,CA,Modesto
Kaiser Permanente-Fontana,CA,Fontana
Kaiser Permanente-Los Angeles,CA,Pasadena
Kaiser Permanente-Napa/Solano,CA,Vallejo
Kaiser Permanente-Oakland,CA,Pleasanton
Kaiser Permanente-Orange Co,CA,Santa Ana
Kaiser Permanente-Riverside,CA,Riverside
Kaiser Permanente-SF,CA,San Francisco
Kaiser Permanente-Sacramento Valley,CA,Sacramento
Kaiser Permanente-San Diego,CA,San Diego
Kaiser Permanente-San Jose,CA,San Jose
Kaiser Permanente-Santa Clara,CA,Santa Clara
Kaiser Permanente-Santa Rosa,CA,Santa Rosa
Kaiser Permanente-Woodland Hills,CA,Woodland Hills
Kaweah Delta Health Care District,CA,Visalia
Keck School of Medicine of USC,CA,Los Angeles
Kern Med Ctr,CA,Bakersfield
La Maestra Family Clinic Inc,CA,San Diego
Lifelong Medical Care,CA,Berkeley
Loma Linda Univ Med Ctr-Murrieta,CA,Murrieta
Loma Linda University,CA,Loma Linda
Long Beach Mem Med Ctr,CA,Long Beach
Los Robles Health System,CA,Thousand Oaks
Marian Regional Med Ctr,CA,Santa Maria
Mercy Med Ctr-Merced,CA,Merced
Mercy Med Ctr-Redding,CA,Redding
Natividad Med Ctr,CA,Salinas
North East Medical Services,CA,Daly City
Olive View-UCLA Med Ctr,CA,Sylmar
PIH Health Hosp Downey,CA,Downey
Pomona Valley Hosp,CA,Pomona
Presby Intercommunity Hosp,CA,Whittier
Prime West Consortium,CA,Ontario
Prime West/West Anaheim Med Ctr,CA,Anaheim
Riverside Community Hospital,CA,Riverside
Riverside University Health Sys,CA,Moreno Valley
SW Healthcare Med Ed Consortium,CA,Temecula
San Antonio Regional Hosp,CA,Upland
San Joaquin Gen Hosp,CA,French Camp
San Mateo Behavioral Hlth & Recovery Svcs,CA,San Mateo
San Ysidro Health,CA,San Ysidro
Santa Barbara Cottage Hosp,CA,Santa Barbara
Santa Clara Valley Med Ctr,CA,San Jose
Scripps Clinic/Green Hospital,CA,La Jolla
Scripps Mercy Hosp-Chula Vista,CA,Chula Vista
Scripps Mercy Hosp-San Diego,CA,San Diego
Shasta Community Health Ctr,CA,Redding
Sierra View Med Ctr,CA,Porterville
St Agnes Med Ctr,CA,Fresno
St Joseph Hospital-Eureka,CA,Eureka
St Josephs Med Ctr,CA,Stockton
St Mary Med Ctr-Long Beach,CA,Long Beach
Stanford Health Care Tri-Valley,CA,Pleasanton
Stanford Health Care,CA,Stanford
Stanford Univ Progs,CA,Stanford
Sutter Health,CA,Sacramento
Sutter Med Ctr of Santa Rosa,CA,Santa Rosa
UC Davis Med Ctr,CA,Sacramento
UC Irvine Med Ctr,CA,Orange
UC Riverside SOM,CA,Riverside
UC San Diego Med Ctr,CA,San Diego
UC San Francisco,CA,San Francisco
UC San Francisco-East Bay,CA,Oakland
UC San Francisco-Fresno,CA,Fresno
UCLA Med Ctr,CA,Los Angeles
UCLA Semel Inst for Neuroscience,CA,Los Angeles
VA Greater LA Hlth Sys,CA,Los Angeles
Valley Childrens Healthcare,CA,Madera
Valley Consortium,CA,Modesto
Valley Health Team,CA,San Joaquin
Ventura County Med Ctr,CA,Ventura
Common Spirit Health Mountain Region,CO,Centennial
Denver Community Hlth Svcs,CO,Denver
Denver Health Med Ctr,CO,Denver
HealthONE,CO,Denver
Parkview Med Ctr,CO,Pueblo
Penrose Hospital,CO,Colorado Springs
