institution,state,pslf_class,pslf_evidence
Mobile Infirmary Med Ctr,AL,pslf_friendly,Med Ctr
South Baldwin Reg Med Ctr,AL,pslf_friendly,Med Ctr
Southeast Health,AL,ambiguous,
St Vincents East,AL,ambiguous,
Thomas Hospital,AL,ambiguous,
UAB Selma Fam Med Res,AL,ambiguous,
Providence Hospital,AK,ambiguous,
U Washington Soldotna,AK,pslf_friendly,U Washington
Abrazo Health Network,AZ,ambiguous,
Barrow Neurological Inst at SJHMC,AZ,ambiguous,
Creighton University,AZ,pslf_friendly,University
Dignity East Valley,AZ,ambiguous,
El Rio Health,AZ,ambiguous,
HonorHealth,AZ,ambiguous,
MHC Healthcare,AZ,pslf_friendly,Healthcare
Mayo Clinic School of Grad Med Educ,AZ,pslf_friendly,Mayo Clinic
Midwestern University OPTI,AZ,pslf_friendly,University
North Country HealthCare,AZ,pslf_friendly,Healthcare
Phoenix Childrens Hospital,AZ,pslf_friendly,Children
Tucson Hospitals Med Ed,AZ,pslf_friendly,Hospitals
Yuma Regional Med Ctr,AZ,pslf_friendly,Med Ctr
Baptist Health,AR,ambiguous,
Baptist Mem Med Education,AR,ambiguous,
CHI St Vincent Hot Springs,AR,ambiguous,
Conway Reg Health Sys,AR,ambiguous,
St Bernards Med Ctr,AR,pslf_friendly,Med Ctr
UAMS Regional Centers,AR,ambiguous,
Unity Health,AR,ambiguous,
White River Health System,AR,pslf_friendly,Health System
Adventist Health Glendale,CA,ambiguous,
Adventist Health Hanford,CA,ambiguous,
Adventist Health Ukiah Valley,CA,ambiguous,
Adventist Health White Memorial,CA,pslf_friendly,Memorial
Alameda Health Sys-Highland Hosp,CA,ambiguous,
AltaMed Health Services,CA,pslf_friendly,Health Service
Arrowhead Reg Med Ctr,CA,pslf_friendly,Med Ctr
Casa Colina Hosp,CA,ambiguous,
Cedars-Sinai Med Ctr,CA,pslf_friendly,Med Ctr
Charles R Drew University,CA,pslf_friendly,University
Childrens Hospital-LA,CA,pslf_friendly,Children
Childrens Hospital-Oakland,CA,pslf_friendly,Children
City Of Hope,CA,ambiguous,
Clinica Sierra Vista,CA,ambiguous,
College Med Ctr,CA,pslf_friendly,Med Ctr
Community Mem Health Sys,CA,ambiguous,
Contra Costa Reg Med Ctr,CA,pslf_friendly,Med Ctr
Desert Regional Med Ctr,CA,pslf_friendly,Med Ctr
Dignity Methodist Hosp-Sacramento,CA,ambiguous,
Dignity Northridge Hosp Med Ctr,CA,pslf_friendly,Med Ctr
Eisenhower Med Ctr,CA,pslf_friendly,Med Ctr
Emanate Health,CA,ambiguous,
Family Health Ctrs of San Diego,CA,ambiguous,
Gracelight Community Health,CA,ambiguous,
