institution,state,city,program_name,program_code,specialty_code,specialty,program_type_code,program_type,year,quota,filled,fill_rate
Baptist Health System,AL,,Internal Medicine,1009140C0,140,Internal Medicine,C,Categorical,2016,7,7,1.0
Baptist Health System,AL,,Medicine-Preliminary,1009140P0,140,Internal Medicine,P,Preliminary,2016,3,2,0.6666666666666666
Baptist Health System,AL,,Internal Medicine,1903140C0,140,Internal Medicine,C,Categorical,2016,9,9,1.0
Baptist Health System,AL,,Radiology-Diagnostic 1903420C0 3 2 Family Medicine,2947120C0,120,Family Medicine,C,Categorical,2016,12,12,1.0
Baptist Health System,AL,,General Surgery 1903440C0 4 4 Internal Medicine,2947140C0,140,Internal Medicine,C,Categorical,2016,8,8,1.0
Baptist Health System,AL,,Surgery-Preliminary,1903440P0,440,Surgery-General,P,Preliminary,2016,5,3,0.6
Baptist Health System,AL,,Transitional,1903999P0,999,Transitional,P,Preliminary,2016,16,15,0.9375
Cahaba Medical Care,AL,,Family Medicine,2955120C0,120,Family Medicine,C,Categorical,2016,16,16,1.0
Cahaba Medical Care,AL,,Family Medicine,1590120C0,120,Family Medicine,C,Categorical,2016,4,4,1.0
Montgomery Fam Med Res,AL,,Family Medicine,1852120C0,120,Family Medicine,C,Categorical,2016,6,3,0.5
Montgomery Fam Med Res,AL,,Montgomery Code Quota Matched Internal Medicine,1852140C0,140,Internal Medicine,C,Categorical,2016,14,8,0.5714285714285714
Montgomery Fam Med Res,AL,,Family Medicine 3082120C0 8 8 Medicine-Preliminary,1852140P0,140,Internal Medicine,P,Preliminary,2016,3,3,1.0
Montgomery Fam Med Res,AL,,Selma Fam Med Res-AL Neurology,1852180C0,180,Neurology,C,Categorical,2016,3,3,1.0
Montgomery Fam Med Res,AL,,Obstetrics-Gynecology,1852220C0,220,Obstetrics-Gynecology,C,Categorical,2016,4,4,1.0
Montgomery Fam Med Res,AL,,Orthopaedic Surgery,1852260C0,260,Orthopaedic Surgery,C,Categorical,2016,3,3,1.0
Montgomery Fam Med Res,AL,,Family Medicine,3061120C0,120,Family Medicine,C,Categorical,2016,5,5,1.0
Montgomery Fam Med Res,AL,,Pathology,1852300C0,300,Pathology,C,Categorical,2016,3,3,1.0
