institution,state,program_name,program_code,specialty_code,specialty,program_type_code,program_type,year,quota,filled,fill_rate,pslf_class,pslf_evidence,city
Mobile Infirmary Med Ctr,AL,Internal Medicine,2405140C0,140,Internal Medicine,C,Categorical,2025,21,21,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Internal Medicine,2405140C0,140,Internal Medicine,C,Categorical,2024,25,25,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Medicine-Primary,2405140M0,140,Internal Medicine,M,Primary care,2025,2,2,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Medicine-PrimaryHospitalist,2405140M1,140,Internal Medicine,M,Primary care,2025,2,2,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Medicine-Preliminary,2405140P0,140,Internal Medicine,P,Preliminary,2025,10,2,0.2,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Medicine-Preliminary,2405140P0,140,Internal Medicine,P,Preliminary,2024,10,6,0.6,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Internal Medicine,2239140C0,140,Internal Medicine,C,Categorical,2025,18,18,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Internal Medicine,2239140C0,140,Internal Medicine,C,Categorical,2024,19,19,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Internal Medicine,2239140C0,140,Internal Medicine,C,Categorical,2023,19,13,0.6842105263157895,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Internal Medicine,2239140C0,140,Internal Medicine,C,Categorical,2022,12,12,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Internal Medicine,2239140C0,140,Internal Medicine,C,Categorical,2021,12,12,1.0,pslf_friendly,Med Ctr,Mobile
Mobile Infirmary Med Ctr,AL,Psychiatry,2239400C0,400,Psychiatry,C,Categorical,2025,6,6,1.0,pslf_friendly,Med Ctr,Mobile
