event,window,n_posts,diff_polarity,diff_pol_ci_lo,diff_pol_ci_hi,diff_pol_p_boot,diff_vader,diff_va_ci_lo,diff_va_ci_hi,diff_va_p_boot,median_n_cmt
Limited PSLF Waiver,pre,195,-0.0288,-0.0493,-0.0078,0.0060,0.2024,0.1204,0.2820,0.0000,12.0000
Limited PSLF Waiver,post,497,-0.0261,-0.0381,-0.0148,0.0000,0.1436,0.0941,0.1906,0.0000,14.0000
IDR Account Adjustment,pre,527,-0.0131,-0.0242,-0.0032,0.0100,0.2129,0.1654,0.2594,0.0000,13.0000
IDR Account Adjustment,post,671,-0.0258,-0.0380,-0.0146,0.0000,0.1790,0.1377,0.2228,0.0000,12.0000
Biden Mass Forgiveness,pre,773,-0.0261,-0.0359,-0.0161,0.0000,0.1608,0.1201,0.2036,0.0000,13.0000
Biden Mass Forgiveness,post,1266,-0.0151,-0.0240,-0.0062,0.0000,0.1462,0.1117,0.1804,0.0000,13.0000
Biden v. Nebraska SCOTUS,pre,819,-0.0161,-0.0280,-0.0043,0.0000,0.1713,0.1318,0.2084,0.0000,13.0000
Biden v. Nebraska SCOTUS,post,987,-0.0091,-0.0170,-0.0004,0.0440,0.2477,0.2105,0.2820,0.0000,13.0000
Payments Restart,pre,967,-0.0097,-0.0178,-0.0008,0.0400,0.2354,0.2009,0.2667,0.0000,12.0000
Payments Restart,post,677,-0.0227,-0.0331,-0.0121,0.0000,0.1832,0.1414,0.2308,0.0000,14.0000
SAVE Admin Forbearance,pre,444,-0.0154,-0.0285,-0.0027,0.0180,0.3091,0.2532,0.3616,0.0000,15.0000
SAVE Admin Forbearance,post,487,-0.0036,-0.0162,0.0085,0.5840,0.2617,0.2018,0.3167,0.0000,15.0000
Trump PSLF EO,pre,625,0.0055,-0.0055,0.0172,0.3640,0.3309,0.2836,0.3744,0.0000,17.0000
Trump PSLF EO,post,487,-0.0073,-0.0197,0.0047,0.2500,0.2498,0.1975,0.3023,0.0000,16.0000
Final Trump PSLF Rule,pre,340,-0.0207,-0.0340,-0.0074,0.0020,0.2947,0.2361,0.3485,0.0000,10.0000
Final Trump PSLF Rule,post,279,-0.0248,-0.0390,-0.0093,0.0000,0.3461,0.2878,0.4038,0.0000,13.0000
