state,mean_fill,n_programs,n_hpsas
AK,0.8810,2,338
AL,0.9125,70,105
AR,0.8732,52,149
AZ,0.9412,130,991
CA,0.9551,657,1586
CO,0.9459,90,305
CT,0.9717,117,111
DC,0.9691,99,156
DE,0.9391,19,88
FL,0.8992,451,359
GA,0.9127,165,189
HI,0.8989,23,63
IA,0.9190,56,323
ID,0.9614,13,96
IL,0.9523,296,754
IN,0.9468,81,225
KY,0.9158,81,376
LA,0.9455,147,263
MA,0.9656,265,145
MD,0.9552,147,204
MI,0.9014,353,605
MN,0.9658,100,1084
MO,0.9434,194,615
MS,0.8724,57,181
MT,0.8527,7,123
NC,0.9148,201,703
ND,0.9248,15,135
NE,0.9451,48,145
NH,0.9347,32,66
NJ,0.9289,261,146
NM,0.9339,41,101
NV,0.8316,49,99
NY,0.9442,842,1825
OH,0.9355,355,1115
OK,0.8854,74,268
OR,0.9513,64,153
PA,0.9305,493,441
PR,0.9241,40,42
RI,0.9537,35,15
SC,0.8854,110,231
SD,0.9133,12,113
TN,0.8788,158,556
TX,0.9433,455,1233
UT,0.9711,74,154
VA,0.8949,155,214
WA,0.9341,115,590
WI,0.9437,111,515
WV,0.8907,78,123
