state,county,n_programs,mean_fill,n_hpsas,max_hpsa_score
AL,"Jefferson County, AL",1,1.0000,5.0000,24.0000
GA,"Muscogee County, GA",3,0.7662,3.0000,24.0000
CA,"Fresno County, CA",13,0.9580,33.0000,24.0000
GA,"Fulton County, GA",76,0.9539,6.0000,24.0000
GA,"Dougherty County, GA",1,0.6500,2.0000,24.0000
FL,"Leon County, FL",86,0.9345,7.0000,24.0000
MI,"Wayne County, MI",121,0.8838,18.0000,24.0000
IN,"Marion County, IN",17,0.9656,16.0000,23.0000
NC,"Guilford County, NC",5,0.9739,3.0000,23.0000
OH,"Cuyahoga County, OH",111,0.9575,12.0000,23.0000
FL,"Duval County, FL",20,0.9679,5.0000,23.0000
MS,"Hinds County, MS",34,0.8970,3.0000,23.0000
TX,"El Paso County, TX",7,0.7277,13.0000,22.0000
DC,"District of Columbia, DC",99,0.9691,12.0000,22.0000
MI,"Macomb County, MI",8,0.8574,2.0000,22.0000
NV,"Clark County, NV",49,0.8316,11.0000,22.0000
FL,"Broward County, FL",25,0.9784,3.0000,22.0000
KY,"Fayette County, KY",1,1.0000,4.0000,22.0000
KY,"Jefferson County, KY",33,0.9221,6.0000,22.0000
NY,"Erie County, NY",33,0.9685,6.0000,22.0000
IL,"Winnebago County, IL",2,0.9600,2.0000,22.0000
LA,"Caddo Parish, LA",55,0.9450,4.0000,22.0000
SC,"Orangeburg County, SC",1,0.0000,2.0000,22.0000
TN,"Shelby County, TN",17,0.8631,10.0000,22.0000
IL,"Sangamon County, IL",19,0.9949,3.0000,22.0000
IL,"Macon County, IL",1,0.6000,2.0000,22.0000
GA,"Bibb County, GA",14,0.8537,3.0000,22.0000
IL,"Jackson County, IL",1,1.0000,4.0000,22.0000
NC,"Mecklenburg County, NC",18,0.9553,7.0000,22.0000
MS,"Forrest County, MS",10,0.8032,2.0000,22.0000
IL,"Champaign County, IL",12,0.8741,2.0000,22.0000
OH,"Lucas County, OH",33,0.9370,9.0000,22.0000
MO,"Jackson County, MO",16,0.8959,9.0000,22.0000
OH,"Hamilton County, OH",51,0.9267,11.0000,22.0000
TX,"Harris County, TX",76,0.9530,15.0000,22.0000
LA,"Orleans Parish, LA",72,0.9570,8.0000,22.0000
GA,"Colquitt County, GA",2,0.8889,3.0000,21.0000
IL,"Lake County, IL",3,1.0000,2.0000,21.0000
GA,"Clarke County, GA",4,0.8664,2.0000,21.0000
MA,"Essex County, MA",6,0.9956,6.0000,21.0000
MD,"Montgomery County, MD",3,1.0000,3.0000,21.0000
MI,"Muskegon County, MI",5,0.8123,6.0000,21.0000
FL,"Volusia County, FL",1,0.8750,4.0000,21.0000
TX,"Montgomery County, TX",3,0.9062,2.0000,21.0000
TX,"Tarrant County, TX",13,0.9985,4.0000,21.0000
AZ,"Maricopa County, AZ",64,0.9291,46.0000,21.0000
TN,"Davidson County, TN",52,0.9003,9.0000,21.0000
GA,"Chatham County, GA",9,0.8447,3.0000,21.0000
OR,"Douglas County, OR",1,0.8500,10.0000,21.0000
MT,"Yellowstone County, MT",6,0.8472,3.0000,21.0000
AZ,"Pima County, AZ",55,0.9620,27.0000,21.0000
MD,"Washington County, MD",2,0.9444,3.0000,21.0000
GA,"Spalding County, GA",1,0.8000,1.0000,21.0000
NC,"Harnett County, NC",18,0.7115,3.0000,21.0000
HI,"Honolulu County, HI",4,0.6262,14.0000,21.0000
AL,"Dallas County, AL",1,1.0000,2.0000,21.0000
IA,"Scott County, IA",1,1.0000,2.0000,21.0000
TX,"Bexar County, TX",72,0.9222,9.0000,21.0000
WA,"King County, WA",28,0.9658,20.0000,21.0000
TX,"Dallas County, TX",39,0.9005,7.0000,21.0000
FL,"Palm Beach County, FL",77,0.8413,6.0000,21.0000
NY,"Albany County, NY",24,0.9684,1.0000,21.0000
FL,"Miami-Dade County, FL",152,0.9494,17.0000,21.0000
NY,"Schenectady County, NY",1,0.9200,2.0000,21.0000
LA,"East Baton Rouge Parish, LA",10,0.9750,4.0000,21.0000
WI,"Milwaukee County, WI",4,0.8971,11.0000,21.0000
KY,"Pike County, KY",3,0.7524,3.0000,21.0000
NY,"Oneida County, NY",7,0.8375,4.0000,21.0000
KY,"Lewis County, KY",1,0.6250,2.0000,21.0000
MS,"Harrison County, MS",2,0.6250,2.0000,21.0000
CA,"Tulare County, CA",10,0.8336,20.0000,21.0000
MO,"Greene County, MO",2,1.0000,5.0000,21.0000
IL,"Cook County, IL",232,0.9508,74.0000,21.0000
NM,"McKinley County, NM",31,0.9368,7.0000,21.0000
CA,"Los Angeles County, CA",134,0.9355,96.0000,21.0000
CO,"Pueblo County, CO",3,1.0000,2.0000,21.0000
MS,"Lowndes County, MS",1,0.8333,1.0000,21.0000
DE,"New Castle County, DE",13,0.9809,7.0000,21.0000
DE,"Sussex County, DE",1,0.8333,4.0000,21.0000
CA,"Kern County, CA",7,0.9655,27.0000,21.0000
PA,"Berks County, PA",15,0.9759,2.0000,21.0000
MT,"Cascade County, MT",1,1.0000,4.0000,21.0000
CA,"Contra Costa County, CA",2,1.0000,2.0000,21.0000
FL,"Hillsborough County, FL",7,0.7429,4.0000,21.0000
TX,"Hidalgo County, TX",10,1.0000,4.0000,20.0000
MO,"St. Louis County, MO",2,1.0000,3.0000,20.0000
IN,"Allen County, IN",59,0.9447,4.0000,20.0000
MO,"Adair County, MO",19,0.8920,4.0000,20.0000
MS,"Alcorn County, MS",2,0.8667,1.0000,20.0000
FL,"Polk County, FL",6,0.8673,5.0000,20.0000
NC,"Cabarrus County, NC",1,1.0000,2.0000,20.0000
CA,"Sonoma County, CA",25,0.9906,7.0000,20.0000
CA,"Humboldt County, CA",1,0.8667,6.0000,20.0000
OH,"Franklin County, OH",66,0.9365,14.0000,20.0000
CA,"Merced County, CA",1,0.9500,8.0000,20.0000
CA,"Monterey County, CA",1,0.8000,10.0000,20.0000
AZ,"Coconino County, AZ",1,0.8500,19.0000,20.0000
GA,"Gwinnett County, GA",4,0.8472,2.0000,20.0000
CA,"San Diego County, CA",53,0.9813,25.0000,20.0000
NY,"Onondaga County, NY",3,0.9437,4.0000,20.0000
OH,"Summit County, OH",26,0.9257,9.0000,20.0000
NY,"Monroe County, NY",50,0.9495,8.0000,20.0000
NY,"Kings County, NY",116,0.9306,22.0000,20.0000
CO,"Mesa County, CO",1,1.0000,2.0000,20.0000
WA,"Spokane County, WA",16,0.9580,8.0000,20.0000
WA,"Pierce County, WA",7,0.7717,7.0000,20.0000
SC,"Horry County, SC",9,0.8765,4.0000,20.0000
WV,"Kanawha County, WV",15,0.8335,2.0000,20.0000
OR,"Multnomah County, OR",52,0.9615,15.0000,20.0000
GA,"Cobb County, GA",12,0.9625,2.0000,20.0000
NC,"Wake County, NC",1,1.0000,6.0000,20.0000
AL,"Mobile County, AL",6,0.8834,4.0000,20.0000
CA,"Alameda County, CA",19,0.9483,13.0000,20.0000
MI,"Oakland County, MI",114,0.9435,2.0000,19.0000
OH,"Montgomery County, OH",31,0.9559,4.0000,19.0000
OK,"Oklahoma County, OK",42,0.9619,8.0000,19.0000
OK,"Tulsa County, OK",31,0.7786,8.0000,19.0000
OH,"Stark County, OH",6,0.9490,4.0000,19.0000
MN,"Hennepin County, MN",10,0.9457,16.0000,19.0000
OH,"Allen County, OH",3,0.8500,3.0000,19.0000
TX,"Fort Bend County, TX",1,1.0000,1.0000,19.0000
OH,"Erie County, OH",2,0.8000,3.0000,19.0000
OH,"Columbiana County, OH",2,0.8800,3.0000,19.0000
NY,"Queens County, NY",217,0.9711,9.0000,19.0000
NY,"Niagara County, NY",1,1.0000,2.0000,19.0000
NY,"Bronx County, NY",68,0.9442,15.0000,19.0000
SC,"Charleston County, SC",6,0.6864,2.0000,19.0000
SC,"Greenwood County, SC",1,0.9800,2.0000,19.0000
MI,"Jackson County, MI",6,0.9069,5.0000,19.0000
NE,"Lancaster County, NE",33,0.9553,3.0000,19.0000
NC,"Buncombe County, NC",10,0.9159,4.0000,19.0000
NC,"Cumberland County, NC",49,0.9461,5.0000,19.0000
PA,"Allegheny County, PA",86,0.9625,7.0000,19.0000
IL,"Kane County, IL",1,0.7000,1.0000,19.0000
WI,"Marathon County, WI",9,0.9145,4.0000,19.0000
CA,"San Joaquin County, CA",14,0.9568,5.0000,19.0000
CA,"Solano County, CA",1,1.0000,1.0000,19.0000
FL,"Sarasota County, FL",1,0.3750,1.0000,19.0000
IA,"Polk County, IA",22,0.8610,3.0000,19.0000
IA,"Woodbury County, IA",33,0.9558,2.0000,19.0000
CA,"San Bernardino County, CA",75,0.9681,22.0000,19.0000
CA,"Sacramento County, CA",52,0.9649,7.0000,19.0000
IL,"DuPage County, IL",22,0.9862,1.0000,19.0000
CA,"Riverside County, CA",56,0.9116,15.0000,19.0000
CA,"Orange County, CA",36,0.9562,20.0000,19.0000
UT,"Salt Lake County, UT",2,1.0000,6.0000,19.0000
FL,"Pinellas County, FL",20,0.9327,5.0000,19.0000
IN,"Vigo County, IN",1,0.8857,4.0000,19.0000
CA,"Kings County, CA",5,0.9062,14.0000,19.0000
KY,"Pulaski County, KY",2,0.8690,2.0000,19.0000
LA,"Calcasieu Parish, LA",1,0.7714,6.0000,19.0000
TX,"Williamson County, TX",2,0.9271,1.0000,19.0000
TX,"Travis County, TX",2,1.0000,2.0000,19.0000
FL,"Pasco County, FL",11,0.5988,1.0000,19.0000
CO,"Denver County, CO",25,0.9595,15.0000,19.0000
AR,"Washington County, AR",9,0.7814,3.0000,19.0000
MA,"Suffolk County, MA",181,0.9554,17.0000,19.0000
WV,"Cabell County, WV",15,0.8864,2.0000,19.0000
FL,"Orange County, FL",11,0.8954,3.0000,19.0000
WV,"Greenbrier County, WV",8,0.7917,3.0000,19.0000
AR,"Craighead County, AR",29,0.9384,2.0000,19.0000
CA,"Ventura County, CA",8,0.9393,2.0000,18.0000
WI,"Brown County, WI",41,0.9251,4.0000,18.0000
WA,"Yakima County, WA",1,0.2500,19.0000,18.0000
NM,"Grant County, NM",1,1.0000,1.0000,18.0000
CA,"Shasta County, CA",2,0.7167,13.0000,18.0000
MI,"Kent County, MI",26,0.9262,4.0000,18.0000
CA,"Santa Barbara County, CA",7,1.0000,9.0000,18.0000
NY,"Orange County, NY",7,0.8493,4.0000,18.0000
NY,"Richmond County, NY",26,0.9493,3.0000,18.0000
NY,"Westchester County, NY",49,0.9563,3.0000,18.0000
FL,"Collier County, FL",2,0.9833,2.0000,18.0000
OH,"Fairfield County, OH",2,0.6450,4.0000,18.0000
OH,"Mahoning County, OH",5,0.9600,4.0000,18.0000
AZ,"Yuma County, AZ",6,0.9157,7.0000,18.0000
OH,"Ross County, OH",3,0.8076,4.0000,18.0000
PA,"Chester County, PA",3,1.0000,2.0000,18.0000
AR,"Independence County, AR",1,0.9000,2.0000,18.0000
OR,"Benton County, OR",11,0.9208,2.0000,18.0000
SC,"Florence County, SC",79,0.9140,3.0000,18.0000
SC,"Aiken County, SC",2,1.0000,2.0000,18.0000
SC,"Spartanburg County, SC",5,0.7460,3.0000,18.0000
NC,"Pitt County, NC",18,0.9189,1.0000,18.0000
NE,"Douglas County, NE",15,0.9206,4.0000,18.0000
ND,"Grand Forks County, ND",15,0.9248,1.0000,18.0000
GA,"Floyd County, GA",5,0.8429,1.0000,18.0000
SD,"Pennington County, SD",10,0.9250,4.0000,18.0000
SD,"Minnehaha County, SD",2,0.8667,3.0000,18.0000
KY,"Hopkins County, KY",1,0.9000,1.0000,18.0000
IN,"Vanderburgh County, IN",1,0.8250,2.0000,18.0000
MD,"Anne Arundel County, MD",4,0.9375,1.0000,18.0000
