institution,state,pslf_class,pre_fill,pre_quota,pre_n_program_years,post_fill,post_quota,post_n_program_years,delta_fill,delta_pp
AU-UGA Medical Partnership,GA,ambiguous,1.0000,26,4,0.9659,48,8,-0.0341,-3.4091
Abbott Northwestern Hosp,MN,pslf_friendly,1.0000,16,4,1.0000,44,4,0.0000,0.0000
Adena Health System,OH,pslf_friendly,0.8104,40,8,0.7929,60,12,-0.0176,-1.7560
Adventist Health Glendale,CA,ambiguous,1.0000,16,2,0.8125,32,4,-0.1875,-18.7500
Adventist Health Hanford,CA,ambiguous,1.0000,36,4,0.8929,80,14,-0.1071,-10.7143
Adventist Health Ukiah Valley,CA,ambiguous,0.8810,49,7,0.7798,25,4,-0.1012,-10.1190
Adventist Health White Memorial,CA,pslf_friendly,1.0000,43,10,0.8594,92,16,-0.1406,-14.0625
Advocate Health Care,IL,ambiguous,0.9726,284,40,0.9834,689,78,0.0108,1.0787
Alameda Health Sys-Highland Hosp,CA,ambiguous,1.0000,158,16,0.9943,169,16,-0.0057,-0.5682
Albert Einstein Med Ctr,PA,pslf_friendly,0.8000,46,5,1.0000,5,3,0.2000,20.0000
Allegheny Gen Hosp,PA,ambiguous,0.9524,179,28,0.9155,420,71,-0.0369,-3.6888
Allina Health,MN,ambiguous,1.0000,43,4,1.0000,28,4,0.0000,0.0000
Altru Health System,ND,pslf_friendly,0.9639,302,60,0.9224,255,58,-0.0415,-4.1475
AnMed Health,SC,ambiguous,1.0000,51,11,0.8636,59,5,-0.1364,-13.6364
Anne Arundel Med Ctr,MD,pslf_friendly,1.0000,21,3,0.9231,90,13,-0.0769,-7.6923
Arnot Ogden Med Ctr,NY,pslf_friendly,1.0000,19,3,0.8771,148,24,-0.1229,-12.2917
Arrowhead Reg Med Ctr,CA,pslf_friendly,0.9524,177,21,0.9298,429,65,-0.0226,-2.2602
Ascension Providence/MSUCHM,MI,ambiguous,0.9375,69,16,0.8333,10,2,-0.1042,-10.4167
Atlanta Med Ctr,GA,pslf_friendly,1.0000,32,5,0.9500,50,10,-0.0500,-5.0000
Aultman Hospital/NEOMED,OH,ambiguous,1.0000,38,7,0.9248,94,19,-0.0752,-7.5188
Aurora Health Care/ASMC,WI,ambiguous,0.8534,151,29,0.8929,86,14,0.0394,3.9409
Aurora St Lukes Medical Ctr,WI,pslf_friendly,0.8855,153,29,0.9635,104,16,0.0781,7.8074
Authority Health GME,MI,ambiguous,0.9697,144,11,0.8772,412,63,-0.0924,-9.2448
Aventura Hospital,FL,ambiguous,0.6593,50,9,1.0000,8,2,0.3407,34.0741
B I Deaconess Med Ctr,MA,pslf_friendly,0.9540,413,58,1.0000,669,88,0.0460,4.5977
Baptist Health,AR,ambiguous,0.1000,10,1,0.9187,172,16,0.8187,81.8750
Barnes-Jewish Hosp,MO,ambiguous,0.9318,217,22,0.9808,895,123,0.0489,4.8941
Baton Rouge Gen Med Ctr,LA,pslf_friendly,0.9720,102,17,0.9375,80,8,-0.0345,-3.4489
Bayfront Med Ctr,FL,pslf_friendly,0.9018,91,14,1.0000,48,8,0.0982,9.8214
Baylor Coll Med-Houston,TX,pslf_friendly,0.9712,576,73,0.9544,1244,186,-0.0169,-1.6879
Baylor Univ Med Ctr-Dallas,TX,pslf_friendly,1.0000,18,2,0.9699,275,54,-0.0301,-3.0093
Berkshire Med Ctr,MA,pslf_friendly,1.0000,161,21,0.9750,106,20,-0.0250,-2.5000
Bethesda Hospital,OH,pslf_friendly,0.8571,44,7,1.0000,28,4,0.1429,14.2857
Billings Clinic,MT,ambiguous,0.8732,62,14,0.8125,132,22,-0.0607,-6.0732
Bon Secours Health System,VA,pslf_friendly,0.9768,293,49,0.9279,383,65,-0.0489,-4.8860
Borinquen Health Care Ctr,FL,ambiguous,0.8333,8,3,1.0000,16,4,0.1667,16.6667
Boston Univ Med Ctr,MA,pslf_friendly,1.0000,25,4,0.9293,598,91,-0.0707,-7.0696
Bridgeport Hospital,CT,ambiguous,0.8750,65,12,0.9444,123,18,0.0694,6.9444
Brigham & Womens Hosp,MA,pslf_friendly,1.0000,152,16,1.0000,100,11,0.0000,0.0000
Broadlawns Med Ctr,IA,pslf_friendly,0.9635,166,24,0.8780,211,42,-0.0856,-8.5565
BronxCare Health System,NY,pslf_friendly,0.8333,35,7,0.9533,123,15,0.1200,12.0000
Brooklyn Hosp Ctr,NY,ambiguous,0.9556,100,15,0.9139,265,27,-0.0416,-4.1632
Broward Health Med Ctr,FL,pslf_friendly,0.7832,108,16,0.9488,399,46,0.1655,16.5542
Bryn Mawr Hospital,PA,ambiguous,0.8167,36,10,0.8333,25,6,0.0167,1.6667
Burke Rehabilitation Hosp,NY,ambiguous,0.8438,32,4,1.0000,30,5,0.1562,15.6250
CHRISTUS Health,TX,ambiguous,1.0000,4,1,0.8982,195,16,-0.1018,-10.1786
CMSRU/Cooper University Hospital,NJ,pslf_friendly,0.9474,88,19,0.9536,409,84,0.0062,0.6203
Cambridge Health Alliance,MA,ambiguous,1.0000,69,14,1.0000,124,16,0.0000,0.0000
Campbell University,NC,pslf_friendly,0.9118,201,43,0.6893,551,66,-0.2225,-22.2519
Canton Med Ed Fdn/NEOMED,OH,ambiguous,1.0000,138,19,1.0000,52,4,0.0000,0.0000
Carle Foundation Hosp,IL,ambiguous,0.9583,94,10,0.8761,135,37,-0.0822,-8.2207
Carolinas Med Ctr,NC,pslf_friendly,0.8796,130,27,0.9570,369,62,0.0774,7.7360
Case Western/Univ Hosps Cleveland Med Ctr,OH,pslf_friendly,0.9775,443,73,0.9740,798,141,-0.0035,-0.3539
Cayuga Med Ctr,NY,pslf_friendly,1.0000,27,6,1.0000,40,5,0.0000,0.0000
Cedars-Sinai Med Ctr,CA,pslf_friendly,0.9261,90,11,0.9792,381,72,0.0530,5.3030
Center for Family Medicine,SD,ambiguous,0.9254,401,63,0.8333,44,8,-0.0921,-9.2114
Centerstone,FL,ambiguous,0.7250,32,6,1.0000,19,4,0.2750,27.5000
Childrens Hosp-Philadelphia,PA,pslf_friendly,1.0000,3,1,0.9444,225,24,-0.0556,-5.5556
Childrens Hospital-Boston,MA,pslf_friendly,0.9534,651,102,1.0000,235,33,0.0466,4.6569
Childrens Hospital-LA,CA,pslf_friendly,1.0000,14,3,0.9917,155,10,-0.0083,-0.8333
Childrens Mercy Hospital,MO,pslf_friendly,0.8468,183,31,0.8681,125,12,0.0213,2.1281
Childrens National Med Ctr,DC,pslf_friendly,0.9286,123,14,1.0000,165,24,0.0714,7.1429
Christ Hospital,OH,ambiguous,0.9444,25,4,0.9545,108,12,0.0101,1.0101
Christiana Care,DE,ambiguous,0.9091,76,11,0.9778,278,45,0.0687,6.8687
Cincinnati Childrens Hosp Med Ctr,OH,pslf_friendly,0.7500,55,4,0.8824,212,17,0.1324,13.2353
Citrus Health Network,FL,ambiguous,1.0000,58,11,0.9843,174,41,-0.0157,-1.5679
City Of Hope,CA,ambiguous,0.9915,60,13,1.0000,6,4,0.0085,0.8547
