state,year,n,mean_polarity,sd_polarity,pct_negative
AK,2018,3,0.09258,0.04234,0.00000
AK,2019,5,0.10357,0.02749,0.00000
AK,2020,2,0.00209,0.04971,0.00000
AK,2021,4,0.10002,0.02979,0.00000
AK,2022,8,0.16649,0.14814,0.00000
AK,2023,27,0.05870,0.12537,3.70370
AK,2024,16,0.08271,0.15621,18.75000
AK,2025,18,0.05187,0.04735,0.00000
AL,2018,3,0.04485,0.05367,0.00000
AL,2020,1,0.04546,,0.00000
AL,2021,3,0.08509,0.12336,33.33333
AL,2023,8,0.07696,0.05907,0.00000
AL,2024,4,0.10557,0.08563,0.00000
AL,2025,13,0.08600,0.05932,0.00000
AR,2019,1,0.10021,,0.00000
AR,2020,4,0.15771,0.07622,0.00000
AR,2021,3,0.07531,0.04206,0.00000
AR,2022,19,0.09286,0.13139,10.52632
AR,2023,6,0.10355,0.05892,0.00000
AR,2024,12,0.07851,0.09304,0.00000
AR,2025,9,0.07623,0.07060,0.00000
AZ,2018,3,0.05021,0.11753,33.33333
AZ,2019,3,0.11563,0.05524,0.00000
AZ,2020,9,0.08133,0.07533,0.00000
AZ,2021,17,0.12103,0.05255,0.00000
AZ,2022,17,0.09098,0.06675,5.88235
AZ,2023,33,0.11434,0.08964,3.03030
AZ,2024,18,0.09175,0.17774,5.55556
AZ,2025,10,0.10420,0.09756,10.00000
CA,2018,44,0.09359,0.07980,6.81818
CA,2019,27,0.07900,0.09109,7.40741
CA,2020,36,0.12995,0.10497,2.77778
CA,2021,79,0.11144,0.08674,5.06329
CA,2022,154,0.09289,0.14242,5.19481
CA,2023,218,0.10055,0.11142,4.12844
CA,2024,193,0.09258,0.11255,6.21762
CA,2025,187,0.08817,0.11271,7.48663
CO,2018,12,0.06270,0.05946,0.00000
CO,2019,7,0.07160,0.05015,0.00000
CO,2020,6,0.03691,0.11114,16.66667
CO,2021,18,0.12602,0.05727,0.00000
CO,2022,17,0.10625,0.16196,0.00000
CO,2023,28,0.09894,0.09463,7.14286
CO,2024,17,0.06867,0.06199,0.00000
CO,2025,22,0.08519,0.08397,4.54545
CT,2018,6,0.09407,0.01881,0.00000
CT,2019,3,0.10098,0.07097,0.00000
CT,2020,6,0.10727,0.06354,0.00000
CT,2021,3,0.03413,0.03630,0.00000
CT,2022,16,0.11695,0.10391,6.25000
CT,2023,25,0.06220,0.06577,0.00000
CT,2024,23,0.11840,0.13466,0.00000
CT,2025,29,0.07488,0.08974,10.34483
DC,2018,5,0.08260,0.03558,0.00000
DC,2019,3,0.16626,0.06610,0.00000
DC,2020,8,0.11464,0.04728,0.00000
DC,2021,17,0.13916,0.15814,5.88235
DC,2022,24,0.12105,0.12259,0.00000
DC,2023,27,0.11761,0.08954,3.70370
DC,2024,19,0.09405,0.09332,0.00000
DC,2025,34,0.09775,0.10796,5.88235
DE,2020,2,0.13900,0.00373,0.00000
DE,2021,1,0.02477,,0.00000
DE,2022,8,0.04584,0.07386,0.00000
DE,2023,11,0.09361,0.08174,0.00000
