post_id,rejection_reason,confidence,error
62la7n,servicer_distrust,medium,
977n17,servicer_distrust,medium,
chqko3,timeline_too_long,medium,
g0zgko,no_reason_given,high,
k29zgw,servicer_distrust,high,
hf2vhe,employer_mismatch,high,
w3ziax,timeline_too_long,high,
t3jmdy,alternative_strategy,high,
w5swc5,employer_mismatch,high,
s6m52r,job_change,high,
1498ubw,employer_mismatch,high,
11j6yb8,employer_mismatch,high,
1g65oz8,no_reason_given,high,
1aeuksh,no_reason_given,high,
1q1dhkk,other,low,
1sq4lt7,forbearance_fatigue,high,
c79ccadd601290f9,alternative_strategy,high,
5e8a616b9c87920d,employer_mismatch,high,
458f9bbe7b601ab2,servicer_distrust,high,
69b365ceabfc0e5e,timeline_too_long,high,
be10c46073e18d5f,servicer_distrust,high,
d8ded093466a24ad,employer_mismatch,high,
ebfa350da5e4236d,job_change,high,
04e88ee58a126933,timeline_too_long,high,
7a97fdf0b6ad480e,alternative_strategy,high,
2f7337b005c7d171,servicer_distrust,high,
10bd986fa1ee7ca9,timeline_too_long,high,
8ef8311aa59e2fd0,alternative_strategy,high,
3385381a63436fa7,timeline_too_long,high,
bb31feede6e3dd59,servicer_distrust,high,
3fede8cffb0f41d5,alternative_strategy,high,
d7f35fe4a8aa6adc,alternative_strategy,high,
382e50f207e985ba,servicer_distrust,high,
471deee071981a6f,employer_mismatch,high,
f10059b2d3a2d3f0,alternative_strategy,high,
e685e9905c578692,alternative_strategy,high,
19a5ba36105751e8,alternative_strategy,high,
523f943a4e6b35a6,other,high,
4aec40081f629574,timeline_too_long,high,
1ff63b006b2a2b29,servicer_distrust,medium,
6dc07f6ec7452889,timeline_too_long,high,
78ee61bc7d4ac202,servicer_distrust,high,
66504ab3e780076f,servicer_distrust,high,
2660881939bc7da0,no_reason_given,high,
37fc773c94458bff,no_reason_given,high,
de573e38f97cd4f2,no_reason_given,high,
33a04ae39c919f4b,alternative_strategy,high,
201187decad8a658,alternative_strategy,high,
a4c9102e6e60b5e8,servicer_distrust,high,
c6e924db0325ce03,employer_mismatch,high,
f914ba4e00a6b549,no_reason_given,high,
a5bbad99f91de7c7,employer_mismatch,high,
5aaf5ca72388bebd,servicer_distrust,medium,
5dd9186fe806ce1e,servicer_distrust,medium,
5eb9ef86b04d7fb0,no_reason_given,high,
417f50b2f9aade2e,alternative_strategy,high,
3c196cfec4b7532a,servicer_distrust,medium,
a9c886be02c3753b,employer_mismatch,high,
37531877ea12661b,servicer_distrust,medium,
6f1e939f04f61da8,cost_complexity,high,
4f470f4f520bfcb2,timeline_too_long,high,
37bd55c53b0ac467,timeline_too_long,high,
puohhy,no_reason_given,high,
1d7ky5v,job_change,high,
se0roh,no_reason_given,high,
14ungs6,employer_mismatch,high,
xm6fzd,employer_mismatch,high,
rev684,no_reason_given,high,
17ocpsk,no_reason_given,high,
15nfu7l,timeline_too_long,high,
1d7aq13,employer_mismatch,high,
1ghl0nf,employer_mismatch,high,
16scqap,employer_mismatch,high,
14ohdh3,alternative_strategy,medium,
1epa4rd,employer_mismatch,high,
1500qtc,alternative_strategy,high,
vnpiis,employer_mismatch,high,
1nx8yz9,job_change,high,
1n94otw,timeline_too_long,high,
1obong7,no_reason_given,high,
1njnlnm,no_reason_given,high,
1dhap1w,no_reason_given,high,
uqdmjf,timeline_too_long,high,
1jvi6x9,no_reason_given,high,
1e8d5ts,forbearance_fatigue,high,
1d2nljh,timeline_too_long,high,
14nxidf,forbearance_fatigue,high,
1pdfy41,employer_mismatch,high,
1jh03tj,other,high,
1njsdei,employer_mismatch,high,
1emwbcf,cost_complexity,high,
1cui1b3,employer_mismatch,high,
1jn0byr,no_reason_given,high,
1pnpb41,job_change,high,
1oezr0i,employer_mismatch,high,
1pnhyou,timeline_too_long,high,
1i51gdz,job_change,high,
1nk8h0h,employer_mismatch,high,
1nej8ti,alternative_strategy,high,
1n95gsc,employer_mismatch,high,
1n4xsq3,no_reason_given,high,
1nojpxl,no_reason_given,high,
1o03vvl,no_reason_given,high,
1ngttxo,employer_mismatch,high,
1jm5eq9,employer_mismatch,high,
1nvsapg,servicer_distrust,high,
1nmikxu,employer_mismatch,high,
1nlh616,employer_mismatch,high,
03324ec24d0f64b3,servicer_distrust,high,
c332a47fefe74a05,servicer_distrust,high,
441707fa7b14a9b3,servicer_distrust,high,
599472d95bd23fc5,servicer_distrust,high,
7ed519207f087f49,servicer_distrust,high,
9c88526f9b5f0377,servicer_distrust,high,
020b686767e1c9d2,servicer_distrust,high,
07be8d63a84386f4,servicer_distrust,high,
6d65df5a2c60be9c,servicer_distrust,high,
e359af710ca1ce0e,no_reason_given,high,
5370841c68d73023,no_reason_given,high,
517f1a9cc09a17e0,no_reason_given,high,
a70380f7cf4c9fd4,no_reason_given,high,
5471f43132d83dd3,no_reason_given,high,
3e242dfd0682b3b9,no_reason_given,high,
8f6dc232df39fe0e,no_reason_given,high,
22b0e9a7997ed1e1,servicer_distrust,medium,
090a6236a721c318,employer_mismatch,high,
40cda0ccdbb38a86,servicer_distrust,medium,
ecb30a65e32ed02f,servicer_distrust,medium,
9b7c781a92c08514,employer_mismatch,high,
46c34d31f8138e1d,employer_mismatch,high,
dc9ee166893c9bce,servicer_distrust,medium,
1fce5ed2b558015f,employer_mismatch,high,
3031faa02d1adb99,employer_mismatch,high,
67b2a8324e742864,servicer_distrust,medium,
707d54fda27e6ec1,employer_mismatch,high,
6a2db0d1abd2923c,employer_mismatch,high,
6b5476202d687fcb,servicer_distrust,medium,
c2503aba4d66b1c5,employer_mismatch,high,
155b81e666b8e712,employer_mismatch,high,
2c87651b5051b96b,servicer_distrust,medium,
61a1f119b12b7375,employer_mismatch,high,
82bb4caf4b62dc55,servicer_distrust,medium,
500fcbab3045d8e6,servicer_distrust,medium,
6a6f47bd223464fc,employer_mismatch,high,
9453a1adbfc914a3,employer_mismatch,high,
4408c7db81141b74,servicer_distrust,medium,
4395109872456da7,servicer_distrust,medium,
472c3456783ac25e,employer_mismatch,high,
efc309f901e39770,servicer_distrust,medium,
8983de69a125d684,servicer_distrust,medium,
82a7bd3c28cdce87,employer_mismatch,high,
b9bb8e08c813bd27,employer_mismatch,high,
9c9399e77d30a586,servicer_distrust,medium,
db185435a71975b9,servicer_distrust,medium,
7282d5e95f2ae164,employer_mismatch,high,
64fba680fa22d954,servicer_distrust,medium,
4ca76e289edbfae6,alternative_strategy,high,
46fa79524e400937,forbearance_fatigue,high,
8edae9ab5d608664,other,medium,
bd0040b7413bb6da,alternative_strategy,high,
32bcdeb738cd6908,timeline_too_long,medium,
bef6e7c12d142e3e,servicer_distrust,high,
501c89d8c9551f01,alternative_strategy,high,
1599b147755b038d,cost_complexity,high,
204166e3242bab89,servicer_distrust,medium,
38ede9c996c00df2,servicer_distrust,high,
9109f515f64a40f3,servicer_distrust,high,
fc2ae62c98163b0f,cost_complexity,high,
910a3f6c61f5b3ca,servicer_distrust,high,
75b1133c8a4e35f0,servicer_distrust,high,
cd183724235e6838,employer_mismatch,high,
c3de0c4be9283fc8,cost_complexity,high,
01c0fc142f8b904f,servicer_distrust,high,
b9e1265d2be09500,servicer_distrust,high,
ee98c1aa6116a532,employer_mismatch,high,
89e24b180947f5e4,cost_complexity,high,
fc238771f350dbf7,servicer_distrust,high,
dc5973580925a6aa,servicer_distrust,high,
e38c41a0a304b10b,employer_mismatch,high,
513af9c60fb0a507,cost_complexity,high,
a89d77a883eadefe,servicer_distrust,medium,
8c866c50a3f403ba,servicer_distrust,high,
e2c316006022135b,servicer_distrust,high,
c949c05afa6dc26d,alternative_strategy,high,
035560a35f9247df,cost_complexity,high,
59ca42238cff041a,servicer_distrust,high,
5a3a501d54f314c8,servicer_distrust,high,
ae53c9e93a6ade7f,servicer_distrust,high,
47a31f44206bbb45,employer_mismatch,high,
eb1c2ad39e314d37,cost_complexity,high,
f16d382ee5329840,servicer_distrust,high,
734783410cf4754b,servicer_distrust,high,
daa6adb8ff4fd01a,servicer_distrust,high,
6bb67db75bbd482e,employer_mismatch,high,
6fa8c78fbbae13fe,cost_complexity,high,
bfd38c6685f26bc4,servicer_distrust,medium,
87b62f8bf9a152c1,servicer_distrust,high,
04052cc55bfce89c,servicer_distrust,high,
2060a25445a23a3b,employer_mismatch,high,
a1903da2b40fdbdf,servicer_distrust,high,
7b38c9860157551a,servicer_distrust,high,
938627a88458a99a,servicer_distrust,high,
e49fe7c899444757,employer_mismatch,high,
6223451b4ae2dfa7,cost_complexity,high,
767f4cb4622100a6,servicer_distrust,high,
d43769bb792e09b0,no_reason_given,high,
793b3524cfba9205,no_reason_given,high,
189bc4e690f97ca0,no_reason_given,high,
b27998b22c7e88e2,no_reason_given,high,
c036f2f06961e811,no_reason_given,high,
a679ea2fa8549744,no_reason_given,high,
1885fdbbb18899a0,no_reason_given,high,
546ed08e9c1f9fe6,alternative_strategy,medium,
0dc52407f6b96133,timeline_too_long,high,
21e728d2adde5dc0,no_reason_given,high,
9a1be1e69f7c1ec0,alternative_strategy,high,
bbdecdad5c9653fc,alternative_strategy,high,
973e15d3f88fe92f,no_reason_given,high,
2e952730224f1162,timeline_too_long,medium,
29f66a7b3e8ae514,alternative_strategy,high,
c9a9cf9fdaafce0b,servicer_distrust,medium,
a1d318185f96364e,alternative_strategy,high,
c1fe633e3db21623,alternative_strategy,high,
c066f183920abdbe,alternative_strategy,high,
66eb38c8581e2813,alternative_strategy,high,
fa01398bbe50da14,alternative_strategy,high,
97d212d89c33e204,servicer_distrust,medium,
