post_id,pslf_sentiment,primary_topic,pslf_stance
2352c44fc0f6087d,negative,career_impact,considering
929dd6a7dc0fc042,negative,career_impact,considering
501c89d8c9551f01,negative,career_impact,rejecting
f52d87b0e183286d,negative,career_impact,pursuing
f914ba4e00a6b549,negative,career_impact,rejecting
47a31f44206bbb45,negative,career_impact,rejecting
1101feaf855c774c,negative,career_impact,pursuing
9197570c5610733f,negative,career_impact,rejecting
2060a25445a23a3b,negative,career_impact,rejecting
5eb9ef86b04d7fb0,negative,career_impact,rejecting
a06ba7848e755fc6,negative,career_impact,considering
82bb4caf4b62dc55,negative,career_impact,rejecting
53ac2177f289da8e,negative,career_impact,considering
e1bab25237fa5eb4,negative,financial_planning,considering
1232071afac0f403,negative,financial_planning,unknown
39f136b436025862,negative,financial_planning,considering
b7e00df7b929b82c,negative,financial_planning,unknown
924875e84310718a,negative,financial_planning,considering
5a41a2633ad1a37a,negative,financial_planning,rejecting
5285c15d4f0bda93,negative,financial_planning,considering
c1fe633e3db21623,negative,financial_planning,rejecting
2660881939bc7da0,negative,financial_planning,rejecting
c79ccadd601290f9,negative,financial_planning,rejecting
1268d46f90f6a8af,negative,financial_planning,considering
eba67fe2def586b4,negative,financial_planning,considering
72db72791b80203b,negative,financial_planning,considering
e3cb568bbd570ab6,negative,general_question,unknown
9cb7d19ccfc587d3,negative,general_question,considering
a6d7abf55946b682,negative,general_question,considering
38bb1805ba56a282,negative,general_question,unknown
344ab6918642dfe6,negative,policy_uncertainty,considering
ba9155c775c103a6,negative,policy_uncertainty,unknown
185655c81d717422,negative,policy_uncertainty,unknown
a401ed10b5d620ab,negative,policy_uncertainty,pursuing
021271ae0c719aad,negative,policy_uncertainty,considering
4c9024187acfa24b,negative,policy_uncertainty,considering
43f3c7a7463efd24,negative,policy_uncertainty,considering
ba8a57f5b5ada529,negative,policy_uncertainty,pursuing
8a25dbe53ecda5a5,negative,policy_uncertainty,considering
44fc622f1d6b0d4c,negative,policy_uncertainty,pursuing
672f34ff7be6df4a,negative,policy_uncertainty,considering
d28defc9131f41be,negative,policy_uncertainty,considering
9ccd7e80f89a1e7f,negative,policy_uncertainty,unknown
b4a8d053131d9caa,negative,servicer_issues,pursuing
18567b9e112d6028,negative,servicer_issues,unknown
ffc7272db7559fee,negative,servicer_issues,unknown
920136d40f44312c,negative,servicer_issues,pursuing
c1ffc9aad700ef08,negative,servicer_issues,unknown
e0a79c322d23f155,negative,servicer_issues,unknown
03106b3dd35690c0,negative,servicer_issues,unknown
d3aca5c9f19f1b55,negative,servicer_issues,unknown
10b859d378b93f09,negative,servicer_issues,pursuing
35759fe6b4c8bf7b,negative,servicer_issues,unknown
fcf747d52d09ecaa,neutral,career_impact,considering
30d87092b4283789,neutral,career_impact,considering
b2f9797a0bc6930e,neutral,career_impact,considering
5047b53a930cda48,neutral,career_impact,considering
e10bc1d356045bf2,neutral,career_impact,considering
decb071724c3c9aa,neutral,career_impact,considering
0014f3bd434503bd,neutral,career_impact,unknown
49f831ed71f6eaf9,neutral,career_impact,considering
3b72d1a70c7f590b,neutral,career_impact,considering
1d43f2c5e4bee1ba,neutral,career_impact,unknown
55f539eaeaa994b1,neutral,career_impact,considering
06a1b0df95cfe91b,neutral,career_impact,considering
30cf423fff0c04a5,neutral,career_impact,considering
533cc4ea1ac14eb1,neutral,financial_planning,unknown
ae1dfb34ce88fe72,neutral,financial_planning,considering
8212f90f1f53ef78,neutral,financial_planning,considering
76ff0f6fa7b00e08,neutral,financial_planning,considering
a031921d41cf4048,neutral,financial_planning,unknown
6d4a367ee62388bc,neutral,financial_planning,considering
069de98f0773e62d,neutral,financial_planning,unknown
52a4e87843308d88,neutral,financial_planning,considering
aff181fd485c2ad4,neutral,financial_planning,unknown
87cba42b66a87490,neutral,financial_planning,considering
6b097714d2390609,neutral,financial_planning,rejecting
ceefe5a1fe6c9644,neutral,financial_planning,considering
954018210e75096d,neutral,financial_planning,considering
493b6049e056e300,neutral,general_question,unknown
6d4e0d592adeb441,neutral,general_question,unknown
62ddf6c18533f380,neutral,general_question,unknown
f545191ae095c042,neutral,general_question,unknown
f6aa365cff2e8110,neutral,general_question,unknown
6d15f0a874e2497c,neutral,general_question,unknown
140da168e259a684,neutral,general_question,unknown
bc0bf2dd512b185c,neutral,general_question,pursuing
9d5cb3ebfff1f154,neutral,general_question,unknown
6c7e89538a0ed583,neutral,general_question,unknown
cb0347c5f66fccef,neutral,general_question,unknown
be4f8f7b02342786,neutral,general_question,unknown
e1d85ae9c6626289,neutral,general_question,unknown
f619db4908a12d85,neutral,policy_uncertainty,considering
91133b0d8af3c2a8,neutral,policy_uncertainty,unknown
15a6f72d4c19f3e7,neutral,policy_uncertainty,unknown
0d0fd122855bd4e4,neutral,policy_uncertainty,unknown
6319fcd3c2cfb260,neutral,policy_uncertainty,unknown
06c49ec5ad9fbd14,neutral,policy_uncertainty,unknown
165b6da3509c09a1,neutral,policy_uncertainty,unknown
8651c05a58127b14,neutral,policy_uncertainty,considering
36935ce076833968,neutral,policy_uncertainty,unknown
5314cb5e1c818604,neutral,policy_uncertainty,unknown
9b13c9d5dc247da9,neutral,policy_uncertainty,unknown
d1cc16b40d24092e,neutral,policy_uncertainty,unknown
5ac0475dd4c6dc7c,neutral,policy_uncertainty,pursuing
0f3b75c89fea8894,neutral,servicer_issues,considering
f49a440951c31767,neutral,servicer_issues,considering
688b7516d813262a,neutral,servicer_issues,considering
7f92a502c5e287f3,neutral,servicer_issues,unknown
30689333c402e1a5,neutral,servicer_issues,unknown
210293fe841d2bbf,neutral,servicer_issues,considering
14c99fdb82def8a8,neutral,servicer_issues,unknown
29098da287dbdd82,neutral,servicer_issues,unknown
4861338e35494949,neutral,servicer_issues,unknown
aa68ed5ab6ef8022,neutral,servicer_issues,unknown
d39d85fedc72f118,neutral,servicer_issues,unknown
dd13e946c6ce9540,positive,career_impact,considering
9ac79026e6ec9cbf,positive,career_impact,considering
05be31671d65d583,positive,career_impact,considering
e68e063382498a5a,positive,career_impact,pursuing
0e945de6191937e8,positive,career_impact,pursuing
30521ac045ffbe03,positive,career_impact,pursuing
be7efc8b53b9c688,positive,career_impact,pursuing
f218c84874194778,positive,career_impact,considering
742917d259436818,positive,career_impact,considering
002d2bd8d5928d76,positive,career_impact,considering
99c8d72f27cac625,positive,career_impact,pursuing
e3d913aa59e3815d,positive,career_impact,pursuing
43808f4280e14836,positive,career_impact,considering
ff8805c4e3b9807f,positive,financial_planning,pursuing
a2d5829b12e6718d,positive,financial_planning,pursuing
df69816941f90770,positive,financial_planning,considering
00bc5ef488a40153,positive,financial_planning,considering
517bf924f91879a8,positive,financial_planning,pursuing
716fe4b39cf08597,positive,financial_planning,unknown
e92b457dfdd14d8c,positive,financial_planning,pursuing
a1451ee89a9e1eb7,positive,financial_planning,considering
2c764daf7e97aae5,positive,financial_planning,pursuing
9de71ee3db6378b2,positive,financial_planning,considering
d75f3d6fdcfea750,positive,financial_planning,pursuing
51bf34fa7010c080,positive,financial_planning,considering
7b3fbfbe9d85be72,positive,financial_planning,considering
196dc67056c4f9d3,positive,general_question,unknown
507494a36d390b21,positive,general_question,unknown
824bd464f6e8483b,positive,general_question,considering
fbe63a9f83ab37f1,positive,general_question,pursuing
dab3ec0a540d6c46,positive,general_question,pursuing
473cfff0080c7469,positive,general_question,unknown
d45107c358ba9347,positive,general_question,unknown
01bc33f5c6bb30e5,positive,general_question,pursuing
3a63790a15e9933e,positive,general_question,pursuing
cc860e07c6299c87,positive,general_question,unknown
6296b0104e5fdbdd,positive,general_question,unknown
02b327c9571e1f22,positive,general_question,pursuing
26cf362bd30ee40b,positive,general_question,unknown
96bab835d96e0480,positive,policy_uncertainty,unknown
b5ad57e0d255f8a5,positive,policy_uncertainty,unknown
1a47d83ee4131a98,positive,policy_uncertainty,considering
3af2963ce4f04cf5,positive,policy_uncertainty,pursuing
3af3e0c2e7c65d96,positive,policy_uncertainty,unknown
0a9d86b8be300079,positive,policy_uncertainty,pursuing
0ad0bc951641b164,positive,policy_uncertainty,pursuing
146d576b9a089c40,positive,policy_uncertainty,unknown
36655a31021c93d6,positive,policy_uncertainty,pursuing
dbc8bf54406317f9,positive,policy_uncertainty,pursuing
0ebd41bd1e2b5f6b,positive,policy_uncertainty,unknown
37b641af4dbc794d,positive,policy_uncertainty,pursuing
1956f3ea863aedd4,positive,policy_uncertainty,unknown
53e4ee17a0152047,positive,success_story,pursuing
96395bf276660c2c,positive,success_story,pursuing
530a3ac02cd9fdb3,positive,success_story,pursuing
df6016fc655015c9,positive,success_story,completed
7a43f16fd1cd8d0b,positive,success_story,considering
698217efd359c8e7,positive,success_story,pursuing
ee2499b2e887f9d6,positive,success_story,completed
1303587b1fffbecd,positive,success_story,pursuing
105d67a4a60b8eeb,positive,success_story,pursuing
9b311e7a138532f8,positive,success_story,pursuing
91cba75060c8fb94,positive,success_story,pursuing
f5abc71bbd767fd7,positive,success_story,completed
66b609852d46c245,positive,success_story,considering
fdd05c6ce91020c4,very_negative,financial_planning,rejecting
a200b1f5c71f934f,very_negative,financial_planning,rejecting
1ff63b006b2a2b29,very_negative,financial_planning,rejecting
ae54880509692872,very_negative,financial_planning,rejecting
a1d318185f96364e,very_negative,financial_planning,rejecting
035c578d937f0225,very_negative,financial_planning,rejecting
417f50b2f9aade2e,very_negative,financial_planning,rejecting
78ee61bc7d4ac202,very_negative,financial_planning,rejecting
d3541306997122f2,very_negative,financial_planning,unknown
