event,subthread,n_pre,n_post,mean_pre,mean_post,g,p_boot
Limited PSLF Waiver,other,40,278,0.0686,0.1153,0.4217,0.1988
Limited PSLF Waiver,financial,130,48,0.0927,0.1468,0.4174,0.2248
Limited PSLF Waiver,medical_school,100,20,0.0461,0.1825,1.2053,0.0130
IDR Account Adjustment,other,135,35,0.1492,0.1158,-0.3131,0.4615
IDR Account Adjustment,financial,26,230,0.2422,0.1263,-0.8795,0.3626
Biden Mass Forgiveness,other,16,15,0.1695,0.1975,0.2231,0.4725
Biden Mass Forgiveness,financial,41,43,0.1550,0.0971,-0.5550,0.1698
Biden v. Nebraska SCOTUS,other,162,92,0.1372,0.0979,-0.4411,0.1399
Biden v. Nebraska SCOTUS,financial,27,60,0.1247,0.0751,-0.4534,0.1698
Payments Restart,other,87,21,0.1006,0.2567,1.7564,0.0020
Payments Restart,financial,60,30,0.0751,0.1012,0.2399,0.5584
Trump PSLF EO,other,374,240,0.1249,0.0832,-0.3300,0.0779
Trump PSLF EO,financial,100,40,0.1919,0.0473,-0.7688,0.0470
Final Trump PSLF Rule,other,40,142,0.0692,0.1042,0.3717,0.3297
Final Trump PSLF Rule,financial,31,20,0.1311,0.1941,0.9431,0.2767
