post_id,pslf_sentiment,primary_topic,pslf_stance,raw_response,error
e1fe2bf894b95673,positive,financial_planning,considering,,
b7e00df7b929b82c,very_negative,career_impact,rejecting,,
4f470f4f520bfcb2,neutral,financial_planning,considering,,
dd13e946c6ce9540,positive,career_impact,considering,,
2acc2e4daebef778,positive,financial_planning,considering,,
36fbef74a5363fa9,neutral,financial_planning,unknown,,
507494a36d390b21,very_negative,policy_uncertainty,unknown,,
cdfd8a8cb1957422,very_positive,financial_planning,completed,,
0a6d4e728d99ec9c,very_positive,financial_planning,pursuing,,
9c8f62a8cb6cae27,positive,financial_planning,pursuing,,
d1cc16b40d24092e,neutral,financial_planning,unknown,,
763d5415278e0ed5,very_positive,financial_planning,pursuing,,
54da763efe8e696d,positive,financial_planning,considering,,
0f3e8c43d645bd6c,very_positive,financial_planning,pursuing,,
473cfff0080c7469,very_negative,frustration_venting,unknown,,
e0adcaffff8fb579,very_positive,financial_planning,pursuing,,
afec9c001619c2d4,very_positive,financial_planning,completed,,
36655a31021c93d6,positive,financial_planning,pursuing,,
a0e947444a5f9b0d,very_positive,financial_planning,pursuing,,
15a6f72d4c19f3e7,neutral,financial_planning,unknown,,
954018210e75096d,positive,career_impact,considering,,
e10bc1d356045bf2,neutral,career_impact,considering,,
36935ce076833968,neutral,policy_uncertainty,unknown,,
0d0fd122855bd4e4,neutral,policy_uncertainty,unknown,,
6bc25cbaa7e3ca4c,neutral,general_question,unknown,,
5047b53a930cda48,neutral,career_impact,considering,,
e68e063382498a5a,neutral,career_impact,considering,,
9ac79026e6ec9cbf,neutral,career_impact,pursuing,,
30d87092b4283789,neutral,career_impact,considering,,
5eb9ef86b04d7fb0,negative,career_impact,,,
f914ba4e00a6b549,negative,career_impact,rejecting,,
ee2499b2e887f9d6,positive,success_story,completed,,
417f50b2f9aade2e,very_negative,financial_planning,rejecting,,
d75f3d6fdcfea750,positive,financial_planning,pursuing,,
b63356bdc0b1110b,negative,policy_uncertainty,considering,,
f619db4908a12d85,neutral,financial_planning,considering,,
99c8d72f27cac625,neutral,career_impact,considering,,
021271ae0c719aad,neutral,financial_planning,considering,,
5c54349bc0a5aeb6,neutral,financial_planning,considering,,
46c34d31f8138e1d,very_negative,policy_uncertainty,,,
67b2a8324e742864,very_negative,policy_uncertainty,rejecting,,
82bb4caf4b62dc55,negative,career_impact,rejecting,,
1268d46f90f6a8af,negative,financial_planning,rejecting,,
a5bbad99f91de7c7,very_negative,career_impact,rejecting,,
43f3c7a7463efd24,negative,policy_uncertainty,rejecting,,
e92b457dfdd14d8c,positive,career_impact,considering,,
a031921d41cf4048,neutral,financial_planning,considering,,
87cba42b66a87490,neutral,financial_planning,pursuing,,
30521ac045ffbe03,positive,career_impact,pursuing,,
185655c81d717422,neutral,career_impact,considering,,
be4f8f7b02342786,neutral,general_question,unknown,,
742917d259436818,positive,financial_planning,considering,,
bef6e7c12d142e3e,very_negative,frustration_venting,rejecting,,
501c89d8c9551f01,negative,career_impact,rejecting,,
8651c05a58127b14,neutral,policy_uncertainty,considering,,
22956d1f1ae3828f,very_negative,frustration_venting,rejecting,,
38ede9c996c00df2,very_negative,frustration_venting,rejecting,,
9109f515f64a40f3,very_negative,frustration_venting,rejecting,,
ba8a57f5b5ada529,negative,policy_uncertainty,unknown,,
5dd9186fe806ce1e,very_negative,policy_uncertainty,rejecting,,
44fc622f1d6b0d4c,negative,career_impact,pursuing,,
910a3f6c61f5b3ca,very_negative,servicer_issues,rejecting,,
75b1133c8a4e35f0,very_negative,frustration_venting,rejecting,,
f9f6bbdf8c7aa6b6,very_negative,servicer_issues,rejecting,,
b9e1265d2be09500,very_negative,frustration_venting,rejecting,,
38bb1805ba56a282,neutral,general_question,,,
dc5973580925a6aa,very_negative,servicer_issues,rejecting,,
a4c9102e6e60b5e8,very_negative,frustration_venting,rejecting,,
140da168e259a684,neutral,general_question,unknown,,
b8577a6d1eaabf20,negative,policy_uncertainty,unknown,,
96782aed44d34faa,negative,policy_uncertainty,unknown,,
3353f8bf352412a8,neutral,general_question,unknown,,
c5d9e6aaafa672c9,very_negative,career_impact,pursuing,,
8c866c50a3f403ba,very_negative,servicer_issues,rejecting,,
8a25dbe53ecda5a5,very_negative,policy_uncertainty,unknown,,
0e945de6191937e8,positive,career_impact,completed,,
5a3a501d54f314c8,very_negative,servicer_issues,rejecting,,
ae53c9e93a6ade7f,very_negative,frustration_venting,rejecting,,
47a31f44206bbb45,negative,career_impact,rejecting,,
734783410cf4754b,very_negative,servicer_issues,rejecting,,
