post_id,pslf_sentiment,primary_topic,pslf_stance,raw_response,error
e1fe2bf894b95673,positive,career_impact,considering,,
b7e00df7b929b82c,negative,financial_planning,considering,,
4f470f4f520bfcb2,negative,frustration_venting,considering,,
dd13e946c6ce9540,positive,career_impact,considering,,
2acc2e4daebef778,positive,financial_planning,pursuing,,
36fbef74a5363fa9,negative,financial_planning,considering,,
507494a36d390b21,very_negative,frustration_venting,unknown,,
cdfd8a8cb1957422,positive,financial_planning,pursuing,,
0a6d4e728d99ec9c,positive,financial_planning,pursuing,,
9c8f62a8cb6cae27,positive,financial_planning,pursuing,,
d1cc16b40d24092e,positive,financial_planning,pursuing,,
763d5415278e0ed5,positive,financial_planning,pursuing,,
54da763efe8e696d,positive,financial_planning,pursuing,,
0f3e8c43d645bd6c,positive,financial_planning,pursuing,,
473cfff0080c7469,very_negative,frustration_venting,unknown,,
e0adcaffff8fb579,positive,financial_planning,pursuing,,
afec9c001619c2d4,positive,financial_planning,pursuing,,
36655a31021c93d6,positive,financial_planning,considering,,
a0e947444a5f9b0d,positive,financial_planning,pursuing,,
15a6f72d4c19f3e7,positive,financial_planning,pursuing,,
954018210e75096d,positive,career_impact,considering,,
e10bc1d356045bf2,positive,career_impact,considering,,
36935ce076833968,negative,policy_uncertainty,unknown,,
0d0fd122855bd4e4,negative,policy_uncertainty,unknown,,
6bc25cbaa7e3ca4c,neutral,general_question,unknown,,
5047b53a930cda48,positive,career_impact,pursuing,,
e68e063382498a5a,positive,career_impact,pursuing,,
9ac79026e6ec9cbf,positive,career_impact,pursuing,,
30d87092b4283789,positive,career_impact,pursuing,,
5eb9ef86b04d7fb0,negative,career_impact,rejecting,,
f914ba4e00a6b549,negative,career_impact,rejecting,,
ee2499b2e887f9d6,negative,frustration_venting,completed,,
417f50b2f9aade2e,very_negative,frustration_venting,rejecting,,
d75f3d6fdcfea750,positive,financial_planning,pursuing,,
b63356bdc0b1110b,negative,policy_uncertainty,considering,,
f619db4908a12d85,neutral,financial_planning,considering,,
99c8d72f27cac625,negative,career_impact,considering,,
021271ae0c719aad,negative,financial_planning,considering,,
5c54349bc0a5aeb6,negative,financial_planning,considering,,
46c34d31f8138e1d,negative,policy_uncertainty,considering,,
67b2a8324e742864,negative,policy_uncertainty,considering,,
82bb4caf4b62dc55,negative,career_impact,considering,,
1268d46f90f6a8af,negative,financial_planning,considering,,
a5bbad99f91de7c7,negative,career_impact,rejecting,,
43f3c7a7463efd24,negative,policy_uncertainty,considering,,
e92b457dfdd14d8c,positive,financial_planning,pursuing,,
a031921d41cf4048,positive,financial_planning,considering,,
87cba42b66a87490,negative,financial_planning,pursuing,,
30521ac045ffbe03,positive,career_impact,pursuing,,
185655c81d717422,neutral,career_impact,considering,,
be4f8f7b02342786,neutral,general_question,unknown,,
742917d259436818,positive,career_impact,considering,,
bef6e7c12d142e3e,very_negative,frustration_venting,rejecting,,
501c89d8c9551f01,negative,career_impact,considering,,
8651c05a58127b14,neutral,policy_uncertainty,considering,,
22956d1f1ae3828f,very_negative,frustration_venting,rejecting,,
38ede9c996c00df2,very_negative,servicer_issues,unknown,,
9109f515f64a40f3,very_negative,frustration_venting,rejecting,,
ba8a57f5b5ada529,negative,policy_uncertainty,considering,,
5dd9186fe806ce1e,negative,policy_uncertainty,rejecting,,
44fc622f1d6b0d4c,negative,policy_uncertainty,pursuing,,
910a3f6c61f5b3ca,very_negative,servicer_issues,unknown,,
75b1133c8a4e35f0,very_negative,frustration_venting,rejecting,,
f9f6bbdf8c7aa6b6,very_negative,servicer_issues,unknown,,
b9e1265d2be09500,very_negative,frustration_venting,rejecting,,
38bb1805ba56a282,very_negative,servicer_issues,considering,,
dc5973580925a6aa,very_negative,servicer_issues,unknown,,
a4c9102e6e60b5e8,very_negative,frustration_venting,rejecting,,
140da168e259a684,negative,general_question,unknown,,
b8577a6d1eaabf20,negative,policy_uncertainty,considering,,
96782aed44d34faa,negative,policy_uncertainty,considering,,
3353f8bf352412a8,neutral,general_question,unknown,,
c5d9e6aaafa672c9,very_negative,frustration_venting,pursuing,,
8c866c50a3f403ba,very_negative,servicer_issues,unknown,,
8a25dbe53ecda5a5,negative,policy_uncertainty,considering,,
0e945de6191937e8,positive,success_story,completed,,
5a3a501d54f314c8,very_negative,servicer_issues,unknown,,
ae53c9e93a6ade7f,very_negative,frustration_venting,rejecting,,
47a31f44206bbb45,negative,career_impact,considering,,
734783410cf4754b,very_negative,servicer_issues,unknown,,
daa6adb8ff4fd01a,very_negative,frustration_venting,rejecting,,
65da0e0c56fbe2a2,neutral,frustration_venting,unknown,,
ab6e049ceb9fe1fd,negative,policy_uncertainty,considering,,
91133b0d8af3c2a8,neutral,policy_uncertainty,unknown,,
02b327c9571e1f22,positive,general_question,pursuing,,
87b62f8bf9a152c1,very_negative,servicer_issues,unknown,,
04052cc55bfce89c,very_negative,frustration_venting,rejecting,,
d42bb240fc5b320d,negative,policy_uncertainty,considering,,
2060a25445a23a3b,negative,career_impact,considering,,
7b38c9860157551a,very_negative,servicer_issues,unknown,,
938627a88458a99a,very_negative,frustration_venting,rejecting,,
4c9024187acfa24b,negative,policy_uncertainty,unknown,,
6d15f0a874e2497c,neutral,general_question,unknown,,
02c9ce51f0af5fa8,very_negative,servicer_issues,unknown,,
0a9d86b8be300079,positive,policy_uncertainty,considering,,
afacead733090b62,negative,financial_planning,considering,,
344ab6918642dfe6,negative,financial_planning,considering,,
d28defc9131f41be,negative,financial_planning,considering,,
920136d40f44312c,negative,servicer_issues,pursuing,,
3a63790a15e9933e,very_positive,success_story,pursuing,,
f6aa365cff2e8110,positive,financial_planning,considering,,
76ff0f6fa7b00e08,neutral,career_impact,considering,,
d45107c358ba9347,positive,general_question,pursuing,,
196dc67056c4f9d3,positive,general_question,pursuing,,
cc860e07c6299c87,positive,general_question,pursuing,,
f545191ae095c042,positive,policy_uncertainty,pursuing,,
b5ad57e0d255f8a5,positive,policy_uncertainty,pursuing,,
9b311e7a138532f8,very_positive,career_impact,pursuing,,
698217efd359c8e7,positive,career_impact,pursuing,,
06c49ec5ad9fbd14,neutral,policy_uncertainty,unknown,,
1a47d83ee4131a98,positive,financial_planning,considering,,
e3cb568bbd570ab6,negative,financial_planning,considering,,
c2c5baab54600274,neutral,general_question,considering,,
0ebd41bd1e2b5f6b,neutral,policy_uncertainty,unknown,,
dbc8bf54406317f9,neutral,policy_uncertainty,unknown,,
ee46c1a6fa1c0b7d,negative,policy_uncertainty,considering,,
9b13c9d5dc247da9,positive,policy_uncertainty,considering,,
0ad0bc951641b164,positive,policy_uncertainty,pursuing,,
53e4ee17a0152047,very_positive,success_story,completed,,
1956f3ea863aedd4,very_positive,general_question,completed,,
ace6f24d798fbc5a,very_positive,frustration_venting,pursuing,,
9cb7d19ccfc587d3,negative,frustration_venting,rejecting,,
793b3524cfba9205,very_negative,frustration_venting,rejecting,,
c036f2f06961e811,very_negative,frustration_venting,rejecting,,
2660881939bc7da0,very_negative,frustration_venting,rejecting,,
52a4e87843308d88,negative,financial_planning,rejecting,,
ae1dfb34ce88fe72,negative,career_impact,considering,,
1d43f2c5e4bee1ba,neutral,general_question,unknown,,
3b72d1a70c7f590b,neutral,career_impact,considering,,
0014f3bd434503bd,neutral,general_question,unknown,,
96bab835d96e0480,positive,policy_uncertainty,pursuing,,
1e6174bba846a591,negative,financial_planning,unknown,,
1232071afac0f403,negative,financial_planning,considering,,
78ee61bc7d4ac202,very_negative,frustration_venting,rejecting,,
6d4e0d592adeb441,neutral,career_impact,considering,,
a2d5829b12e6718d,positive,financial_planning,pursuing,,
cfbfaf7b26833759,negative,policy_uncertainty,considering,,
780e9def881a749e,very_positive,financial_planning,pursuing,,
18567b9e112d6028,very_negative,servicer_issues,unknown,,
e0a79c322d23f155,very_negative,servicer_issues,unknown,,
d3aca5c9f19f1b55,very_negative,servicer_issues,unknown,,
ffc7272db7559fee,very_negative,servicer_issues,unknown,,
35759fe6b4c8bf7b,very_negative,servicer_issues,unknown,,
c1ffc9aad700ef08,very_negative,servicer_issues,unknown,,
10b859d378b93f09,very_negative,servicer_issues,unknown,,
b4a8d053131d9caa,very_negative,servicer_issues,unknown,,
03106b3dd35690c0,very_negative,servicer_issues,unknown,,
aff181fd485c2ad4,neutral,financial_planning,considering,,
05be31671d65d583,positive,career_impact,considering,,
55f539eaeaa994b1,neutral,career_impact,considering,,
df6016fc655015c9,positive,career_impact,pursuing,,
91cba75060c8fb94,positive,financial_planning,pursuing,,
c9a9cf9fdaafce0b,very_negative,financial_planning,rejecting,,
