post_id,primary_topic,profession,pslf_sentiment,pslf_stance,source
1oyvqf9,policy_uncertainty,physician_assistant,neutral,considering,PAstudent
1ou4k03,financial_planning,physician_assistant,neutral,considering,PAstudent
112gqj3,career_impact,physician_assistant,positive,considering,PAstudent
1fj3gjt,financial_planning,physician_assistant,neutral,considering,PAstudent
15vz8br,general_question,physician_assistant,neutral,unknown,PAstudent
13wmg7i,general_question,physician_assistant,neutral,unknown,PAstudent
1rnwyi9,financial_planning,physician_assistant,neutral,unknown,PAstudent
1bv80zj,general_question,physician_assistant,neutral,unknown,PAstudent
18ii7xe,general_question,physician_assistant,neutral,unknown,PAstudent
1jbl9p1,general_question,physician_assistant,neutral,unknown,PAstudent
1rxzjvq,general_question,physician_assistant,neutral,unknown,PAstudent
18w7xgq,general_question,physician_assistant,neutral,unknown,PAstudent
xity42,general_question,physician_assistant,neutral,unknown,PAstudent
pb5m5r,general_question,physician_assistant,neutral,unknown,PAstudent
geesgk,general_question,physician_assistant,neutral,unknown,PAstudent
1t0avd7,career_impact,physician_assistant,neutral,considering,PAstudent
1k9iixb,general_question,physician_assistant,neutral,unknown,PAstudent
1cegg5y,general_question,physician_assistant,neutral,unknown,PAstudent
v5g658,general_question,physician_assistant,neutral,unknown,PAstudent
1cd5cnp,general_question,physician_assistant,neutral,unknown,PAstudent
upapi1,general_question,physician_assistant,neutral,unknown,PAstudent
18lihwm,general_question,physician_assistant,neutral,unknown,PAstudent
10qse3n,financial_planning,physician_assistant,neutral,unknown,PAstudent
ewzqi6,general_question,physician_assistant,neutral,unknown,PAstudent
bh8pvm,general_question,physician_assistant,neutral,unknown,PAstudent
1np0lvo,financial_planning,physician_assistant,negative,unknown,prephysicianassistant
1lq6sog,policy_uncertainty,physician_assistant,neutral,unknown,prephysicianassistant
1o1b3d1,career_impact,physician_assistant,neutral,unknown,prephysicianassistant
1rv0rzv,career_impact,physician_assistant,neutral,considering,prephysicianassistant
1sdania,financial_planning,physician_assistant,neutral,considering,prephysicianassistant
1sbn384,financial_planning,physician_assistant,neutral,considering,prephysicianassistant
1pdl9bo,policy_uncertainty,physician_assistant,very_negative,rejecting,prephysicianassistant
1dwgjp4,career_impact,physician_assistant,negative,considering,prephysicianassistant
11764pn,career_impact,physician_assistant,negative,pursuing,prephysicianassistant
1n6gwhi,general_question,physician_assistant,neutral,unknown,prephysicianassistant
arn6kn,general_question,physician_assistant,neutral,unknown,prephysicianassistant
1gwn7lg,general_question,physician_assistant,neutral,unknown,prephysicianassistant
1bl8y0b,general_question,physician_assistant,neutral,unknown,prephysicianassistant
xs0c41,general_question,physician_assistant,neutral,unknown,prephysicianassistant
1sfh5cb,financial_planning,physician_assistant,neutral,unknown,prephysicianassistant
1o7s62y,financial_planning,physician_assistant,neutral,unknown,prephysicianassistant
1npin4s,general_question,physician_assistant,neutral,unknown,prephysicianassistant
5z9y8j,general_question,physician_assistant,neutral,unknown,prephysicianassistant
ehkjn9,general_question,physician_assistant,neutral,unknown,prephysicianassistant
1srcrxk,policy_uncertainty,physician_assistant,negative,considering,prephysicianassistant
13w2e28,general_question,physician_assistant,neutral,considering,prephysicianassistant
1g9a8gi,general_question,physician_assistant,neutral,unknown,prephysicianassistant
16clvf4,general_question,physician_assistant,neutral,unknown,prephysicianassistant
1is5w1a,general_question,physician_assistant,neutral,unknown,prephysicianassistant
1psrcl3,financial_planning,nursing,neutral,considering,CRNA
8mmd0l,general_question,nursing,neutral,unknown,CRNA
