error,post_id,primary_topic,profession,pslf_sentiment,pslf_stance,raw_response,source
,da9f7edf1a99f47f,financial_planning,,neutral,unknown,,sdn
,bcf068d1e8c80257,policy_uncertainty,,neutral,unknown,,sdn
,21e9d350d543099e,career_impact,,positive,pursuing,,sdn
,164a33c5f3a9b5d8,career_impact,,positive,pursuing,,sdn
,a87c66675af69473,career_impact,,neutral,unknown,,sdn
,2606b2e31ad61a49,career_impact,,positive,pursuing,,sdn
,86f90e2edafd2cd4,career_impact,,neutral,pursuing,,sdn
,22b6f45441e26981,career_impact,,positive,considering,,sdn
,0e7f6e17cf8822e8,career_impact,,positive,considering,,sdn
,a07796256bfd23fc,career_impact,,positive,considering,,sdn
,874f16d1b07cb598,career_impact,,positive,considering,,sdn
,2aef83b627106af5,career_impact,,positive,considering,,sdn
,473019146fdc6ff8,career_impact,,positive,considering,,sdn
,cd0c38f436b071fe,career_impact,,positive,considering,,sdn
,dd13e946c6ce9540,career_impact,,positive,considering,,sdn
,afe14bb9f0de97a2,career_impact,,positive,considering,,sdn
,33a31a52e4495b07,career_impact,,positive,considering,,sdn
,c919e17eb9d59f3e,general_question,,positive,pursuing,,sdn
,584553ca172bd280,policy_uncertainty,,positive,pursuing,,sdn
,e8fcbcfe8e3d6423,financial_planning,,neutral,unknown,,sdn
,2acc2e4daebef778,financial_planning,,very_positive,pursuing,,sdn
,e00b1d82aae09dd5,financial_planning,,positive,pursuing,,sdn
,42e8046f4234a83e,policy_uncertainty,,neutral,unknown,,sdn
,36fbef74a5363fa9,financial_planning,,neutral,unknown,,sdn
,ac3fd7896d11a58f,financial_planning,,positive,pursuing,,sdn
,507494a36d390b21,general_question,,positive,unknown,,sdn
,b729b5d5ab950fe6,policy_uncertainty,,positive,pursuing,,sdn
,361db7f4188e5cbc,financial_planning,,neutral,unknown,,sdn
,cdfd8a8cb1957422,financial_planning,,very_positive,pursuing,,sdn
,ce9bc96d53e7df47,financial_planning,,positive,pursuing,,sdn
,04e901505bac58f1,policy_uncertainty,,neutral,unknown,,sdn
,90d5264e7470d10b,financial_planning,,neutral,unknown,,sdn
,daa37a1c072a3a57,financial_planning,,positive,pursuing,,sdn
,dce2a8a8ca522458,policy_uncertainty,,positive,pursuing,,sdn
,3f09f3c1c8e30e2f,policy_uncertainty,,neutral,considering,,sdn
,0a6d4e728d99ec9c,financial_planning,,very_positive,pursuing,,sdn
,74f440120dc893a2,financial_planning,,neutral,pursuing,,sdn
,9722a15578a8c554,policy_uncertainty,,neutral,unknown,,sdn
,b6394e792b418d32,financial_planning,,neutral,unknown,,sdn
,4cfba98b17a06a29,financial_planning,,positive,pursuing,,sdn
,2feae62d6d0cd24f,general_question,,positive,pursuing,,sdn
,f54d507dacdd716a,policy_uncertainty,,neutral,considering,,sdn
,c9a1d239f8a175c8,financial_planning,,neutral,considering,,sdn
,9c8f62a8cb6cae27,financial_planning,,very_positive,pursuing,,sdn
,420fc22039ed665c,financial_planning,,neutral,considering,,sdn
,d1cc16b40d24092e,policy_uncertainty,,neutral,unknown,,sdn
,e88268cfbfe2de66,financial_planning,,positive,pursuing,,sdn
,063cf7e5fe2b2309,policy_uncertainty,,positive,pursuing,,sdn
,373a9394f6f5c338,policy_uncertainty,,positive,pursuing,,sdn
,2c8a453b0975a3a8,financial_planning,,neutral,unknown,,sdn
,3fc252c7e18865f9,financial_planning,,positive,pursuing,,sdn
,75e0b99f48a1e3e8,financial_planning,,neutral,unknown,,sdn
,5700d2dde146ef58,financial_planning,,positive,pursuing,,sdn
,208c685eaf0f5a1f,general_question,,positive,pursuing,,sdn
,ff1a1ca130120b22,policy_uncertainty,,positive,considering,,sdn
,1aef17cd65c6d6fd,financial_planning,,neutral,unknown,,sdn
,54da763efe8e696d,financial_planning,,very_positive,pursuing,,sdn
,7f3431eb0c47e6dc,financial_planning,,neutral,pursuing,,sdn
,715c594aa7e506ff,policy_uncertainty,,neutral,unknown,,sdn
,024dfa1e685499f1,financial_planning,,neutral,unknown,,sdn
,5f9fc6b188d53c59,financial_planning,,positive,pursuing,,sdn
,626e2c1ae486fee1,general_question,,positive,unknown,,sdn
,c359ad2cdc1b97fd,financial_planning,,neutral,unknown,,sdn
,4801d6240cca09a1,financial_planning,,positive,pursuing,,sdn
