pslf_sentiment,primary_topic,pslf_stance,post_id,source
positive,career_impact,unknown,3a03d670c0bc6f5d,sdn
positive,career_impact,pursuing,fa216ffb1b7ad81f,sdn
neutral,policy_uncertainty,unknown,b8fe9a0990d5b186,sdn
neutral,career_impact,considering,49f831ed71f6eaf9,sdn
very_negative,financial_planning,rejecting,417f50b2f9aade2e,sdn
positive,career_impact,pursuing,848440fd2cc7b003,sdn
negative,policy_uncertainty,considering,afacead733090b62,sdn
neutral,financial_planning,considering,0834765849495a37,sdn
positive,career_impact,pursuing,71ebddcaf1514dce,sdn
neutral,general_question,unknown,659c07678f5fde2c,sdn
neutral,career_impact,pursuing,73fb6ca4a57daa9a,sdn
neutral,general_question,unknown,588837f106bb7f6d,sdn
very_positive,financial_planning,pursuing,763d5415278e0ed5,sdn
negative,policy_uncertainty,unknown,03d5495f1719621d,sdn
negative,policy_uncertainty,pursuing,5dc81ac8eb03b203,sdn
positive,success_story,completed,a6d43889b09b5f05,sdn
positive,career_impact,pursuing,118f045f12bdc425,sdn
negative,financial_planning,unknown,1839c29af9fccf73,sdn
neutral,financial_planning,unknown,a11169aeccbc2758,sdn
neutral,financial_planning,unknown,667da450c6120778,sdn
positive,career_impact,pursuing,7b16fc4c49163d21,sdn
neutral,general_question,unknown,0a133d395e0b140c,sdn
positive,success_story,completed,f5abc71bbd767fd7,sdn
neutral,general_question,considering,9d2b3e56e2c522d6,sdn
positive,general_question,pursuing,e0f09f7f69f8560d,sdn
neutral,general_question,unknown,1c7a8b6d89233258,sdn
neutral,financial_planning,unknown,b9c2db841412aa82,sdn
positive,career_impact,pursuing,6b2175192532ca1d,sdn
neutral,financial_planning,unknown,0eba470fc1045fd6,sdn
neutral,financial_planning,pursuing,1d5c0a5e47e21ca4,sdn
neutral,financial_planning,considering,269976c61f642ca8,sdn
negative,policy_uncertainty,considering,39079f6ed05c5e7d,sdn
negative,policy_uncertainty,rejecting,4aec40081f629574,sdn
neutral,general_question,pursuing,1e92e42ec1f887e4,sdn
neutral,policy_uncertainty,considering,004fbd1410c23de3,sdn
negative,policy_uncertainty,unknown,048b4402c1f67082,sdn
negative,policy_uncertainty,rejecting,201187decad8a658,sdn
neutral,career_impact,considering,decb071724c3c9aa,sdn
neutral,financial_planning,unknown,0bb2cba3f7d5c45a,sdn
neutral,career_impact,considering,201ec50c301c0b01,sdn
neutral,policy_uncertainty,unknown,d422f362eade8a32,sdn
neutral,financial_planning,unknown,489ec060aa7cd6af,sdn
neutral,financial_planning,unknown,8ae5fee32372420e,sdn
neutral,success_story,pursuing,9fb418dc19b2fdac,sdn
negative,financial_planning,considering,54209e020b7255ff,sdn
neutral,financial_planning,unknown,c4929a734698f8c2,sdn
neutral,financial_planning,considering,2d9e5e515ba5a1fb,sdn
positive,financial_planning,pursuing,e464a87da99188b0,sdn
neutral,financial_planning,unknown,fccfbf9cc2e2f788,sdn
neutral,financial_planning,unknown,01f8b9218640d70d,sdn
neutral,financial_planning,considering,c7190d143d315f5d,sdn
neutral,financial_planning,considering,bef9d0a760ad7c26,sdn
neutral,financial_planning,considering,29458abac21934c6,sdn
neutral,financial_planning,considering,740d89081a421b49,sdn
negative,financial_planning,considering,8b881b97bf189699,sdn
positive,career_impact,pursuing,d4578047a5e749f4,sdn
neutral,policy_uncertainty,considering,90b64f889996b10a,sdn
neutral,financial_planning,pursuing,6418c665e479dc26,sdn
negative,financial_planning,rejecting,d8ded093466a24ad,sdn
neutral,career_impact,considering,3ef2b995c0f3563e,sdn
neutral,general_question,pursuing,6f85e01c3361191d,sdn
neutral,financial_planning,considering,36216100c19f4bcd,sdn
neutral,career_impact,unknown,d62454f7a739ccad,sdn
positive,financial_planning,pursuing,6974d067c21c5cf8,sdn
neutral,financial_planning,unknown,a741885e090b8cac,sdn
neutral,general_question,unknown,fd9ef7b7f2b350f9,sdn
positive,career_impact,unknown,709bb9831ca9f6bf,sdn
positive,policy_uncertainty,unknown,96bab835d96e0480,sdn
positive,career_impact,pursuing,d249eaa129e96d61,sdn
positive,financial_planning,considering,3a7569048e5d719e,sdn
neutral,career_impact,considering,929dd6a7dc0fc042,sdn
neutral,financial_planning,considering,701d9bc80291c461,sdn
neutral,career_impact,considering,19a815069ba34d74,sdn
neutral,financial_planning,pursuing,eb9922cfb63554ca,sdn
neutral,general_question,unknown,27bf1c2d10312611,sdn
neutral,career_impact,considering,ddbb84b4c5ec1387,sdn
neutral,general_question,unknown,ee000bd26869e3f9,sdn
negative,career_impact,unknown,a17247304a6fa717,sdn
neutral,general_question,pursuing,76d8b45a5306ec44,sdn
neutral,policy_uncertainty,considering,9883ac0cbf029c57,sdn
neutral,career_impact,pursuing,8a351e972d02b745,sdn
neutral,general_question,unknown,832f3970cf0c70d6,sdn
negative,financial_planning,rejecting,c79ccadd601290f9,sdn
neutral,financial_planning,unknown,c0423040dd762645,sdn
negative,financial_planning,unknown,4f470f4f520bfcb2,sdn
positive,financial_planning,considering,6f43b6c4e6dd33d6,sdn
neutral,financial_planning,considering,f69b1fd2774ccd41,sdn
neutral,career_impact,unknown,03e0f3fea8f8045b,sdn
neutral,career_impact,pursuing,412e76a906ab8e5d,sdn
positive,career_impact,pursuing,9ba5f1f91e0eee82,sdn
negative,policy_uncertainty,unknown,92d535aca7b479dc,sdn
neutral,policy_uncertainty,unknown,206ddd4cbe43a338,sdn
positive,career_impact,pursuing,e68cac55b32c94bd,sdn
neutral,general_question,unknown,e93e8a6b8bfe3ca2,sdn
positive,general_question,pursuing,6f78fd06bbe0bc4a,sdn
negative,general_question,unknown,992d548ec8a3e2a4,sdn
neutral,career_impact,considering,28fb9b82129e7f04,sdn
neutral,financial_planning,considering,f8f9436346f8e553,sdn
very_negative,policy_uncertainty,unknown,3527d54cfd9bc43f,sdn
neutral,financial_planning,unknown,aa01e2797e74ad08,sdn
positive,career_impact,considering,754ae2e312741f53,sdn
neutral,financial_planning,pursuing,cd74e7fbb018bae4,sdn
neutral,financial_planning,pursuing,d620b88aa26d1f4b,sdn
positive,general_question,pursuing,13deee8f5ba72ba1,sdn
negative,policy_uncertainty,considering,10bdb75071fe8af6,sdn
positive,financial_planning,pursuing,5d6d8eebb324fe8d,sdn
neutral,policy_uncertainty,unknown,1e546f99d078c975,sdn
neutral,general_question,unknown,ddd8b15b7bad13e6,sdn
positive,career_impact,unknown,1c78627fb2844889,sdn
positive,general_question,pursuing,bafcbe31ae466539,sdn
very_positive,success_story,completed,03a9c6de7e1f384f,sdn
neutral,financial_planning,considering,d1988ea26fbd84f9,sdn
positive,career_impact,considering,2888b15bc6856c01,sdn
neutral,general_question,unknown,b09ea598fa91fddd,sdn
neutral,general_question,unknown,54effed960f9d4e6,sdn
neutral,financial_planning,unknown,2a3fd0ed85638bf4,sdn
neutral,financial_planning,considering,6f5032ebc76c9dd8,sdn
neutral,financial_planning,considering,576578d9b0c1dad7,sdn
neutral,financial_planning,pursuing,ce173c40dcb0fc79,sdn
neutral,financial_planning,unknown,dfbab7d9195a627e,sdn
neutral,career_impact,considering,ef02d91619bc4919,sdn
neutral,financial_planning,considering,9fe61de1f375c036,sdn
positive,financial_planning,considering,510342e23672fb46,sdn
negative,financial_planning,considering,e94a7dd6d434910b,sdn
neutral,general_question,pursuing,79086eb23fb5c034,sdn
neutral,general_question,considering,0fe31f1323fa8452,sdn
neutral,financial_planning,unknown,72def1ff38551d84,sdn
neutral,financial_planning,unknown,d9818886059f8ac9,sdn
neutral,career_impact,considering,f9c91cc5f6443d31,sdn
neutral,career_impact,considering,f428423397d4e00f,sdn
