post_id,primary_topic,profession,pslf_sentiment,pslf_stance,source
d30c97cb5046762c,financial_planning,,neutral,considering,sdn
6de48c4ba1de7121,financial_planning,,neutral,considering,sdn
0834765849495a37,financial_planning,,neutral,considering,sdn
189bf8541e2bdc22,career_impact,,neutral,pursuing,sdn
dcc65a67afab3ebc,career_impact,,neutral,pursuing,sdn
19dc1d252f76e1af,career_impact,,neutral,pursuing,sdn
412e76a906ab8e5d,career_impact,,neutral,pursuing,sdn
f6139e844cfd727b,career_impact,,neutral,pursuing,sdn
645f6e703cd7ee58,career_impact,,neutral,pursuing,sdn
ae4bca1e2f645abe,financial_planning,,positive,considering,sdn
269976c61f642ca8,financial_planning,,neutral,considering,sdn
9fe61de1f375c036,financial_planning,,positive,considering,sdn
eb6b1983760319a7,financial_planning,,neutral,considering,sdn
7da87a91eb68c366,financial_planning,,positive,considering,sdn
3b8b378e16a093f8,financial_planning,,neutral,considering,sdn
f927d622616c94e7,financial_planning,,neutral,considering,sdn
dbfb1a43ed19729b,financial_planning,,neutral,considering,sdn
a91f35bee1264f76,financial_planning,,positive,considering,sdn
a8f4a1d339965183,policy_uncertainty,,neutral,unknown,sdn
9cfa08660a1bb86f,policy_uncertainty,,neutral,unknown,sdn
6d00a25810e4440f,policy_uncertainty,,neutral,unknown,sdn
1c9ff3a05afcc2df,career_impact,,positive,unknown,sdn
417b8f94b8d40f39,career_impact,,positive,unknown,sdn
34d58e4c69d3a7ac,financial_planning,,positive,considering,sdn
36216100c19f4bcd,financial_planning,,positive,considering,sdn
f2ef7085cbdb6f0e,career_impact,,positive,unknown,sdn
8e64e6bfa989039e,financial_planning,,positive,considering,sdn
402450ac31baee3b,career_impact,,positive,unknown,sdn
faa5cdcf6f8858ea,financial_planning,,positive,considering,sdn
709bb9831ca9f6bf,career_impact,,positive,unknown,sdn
2d9e5e515ba5a1fb,financial_planning,,neutral,considering,sdn
f8db46f65ae1f260,financial_planning,,neutral,considering,sdn
3f03069d99136032,financial_planning,,neutral,considering,sdn
a9a6e515cf794902,financial_planning,,neutral,considering,sdn
243aa71bf3017df4,financial_planning,,neutral,considering,sdn
f072d2f7e041065b,financial_planning,,neutral,considering,sdn
3d22400476ef0aab,financial_planning,,neutral,considering,sdn
1862726dea11016b,career_impact,,positive,pursuing,sdn
18723b2b61216d9f,general_question,,neutral,unknown,sdn
1c78627fb2844889,career_impact,,positive,pursuing,sdn
4861058032746c01,financial_planning,,neutral,unknown,sdn
69c07496938ad014,general_question,,neutral,unknown,sdn
54effed960f9d4e6,general_question,,neutral,unknown,sdn
8ef52b00fa9322c8,career_impact,,positive,pursuing,sdn
fdd6342262b1e1e5,financial_planning,,neutral,unknown,sdn
b99aac3d1b635f99,career_impact,,positive,pursuing,sdn
fbba9cb73fc95ff0,financial_planning,,neutral,unknown,sdn
8a23865df6472f92,general_question,,neutral,unknown,sdn
c4550e24c5b361a7,career_impact,,positive,pursuing,sdn
9e5fe1d623724481,financial_planning,,neutral,unknown,sdn
e1fe2bf894b95673,career_impact,,positive,pursuing,sdn
27b3f35038ec421d,general_question,,neutral,unknown,sdn
d94d250455ed37a3,financial_planning,,neutral,unknown,sdn
1d26bd46b6969d1f,financial_planning,,neutral,unknown,sdn
19c06675c67c1fde,financial_planning,,neutral,unknown,sdn
0bb2cba3f7d5c45a,financial_planning,,neutral,unknown,sdn
d750037b556cccd9,financial_planning,,neutral,unknown,sdn
a649da0cf231df92,financial_planning,,positive,considering,sdn
2b45c60022a5b837,financial_planning,,positive,considering,sdn
8ab25fc880a63415,financial_planning,,positive,considering,sdn
6f5032ebc76c9dd8,financial_planning,,neutral,considering,sdn
3d1fc57f99bf7a9a,financial_planning,,negative,unknown,sdn
1d7bce06b1d134c0,financial_planning,,negative,unknown,sdn
a17247304a6fa717,financial_planning,,negative,unknown,sdn
b7e00df7b929b82c,financial_planning,,negative,unknown,sdn
66befe75e8c19dc2,financial_planning,,negative,unknown,sdn
d1988ea26fbd84f9,financial_planning,,neutral,considering,sdn
466a12a965a2d0d8,financial_planning,,neutral,considering,sdn
