post_id,pslf_sentiment,primary_topic,pslf_stance,raw_response,error
1ohigdz,positive,servicer_issues,pursuing,,
1px5dbt,very_positive,success_story,completed,,
1okdd3t,positive,financial_planning,pursuing,,
1mc9z31,very_negative,servicer_issues,pursuing,,
1t5i10n,neutral,general_question,pursuing,,
16mriv5,neutral,policy_uncertainty,considering,,
q28msw,positive,policy_uncertainty,unknown,,
rc90d3,neutral,general_question,unknown,,
q6kwst,positive,policy_uncertainty,pursuing,,
1s94ge1,negative,servicer_issues,pursuing,,
1rjrt16,neutral,general_question,pursuing,,
1p2oevd,positive,financial_planning,pursuing,,
1l8eyel,neutral,financial_planning,pursuing,,
1pjc4ex,neutral,financial_planning,pursuing,,
1sy5zrn,negative,servicer_issues,pursuing,,
199f1ky,very_positive,success_story,completed,,
14n280k,neutral,policy_uncertainty,unknown,,
wwhr85,neutral,policy_uncertainty,unknown,,
jfcjmz,very_positive,success_story,completed,,
1jtpwqr,neutral,policy_uncertainty,pursuing,,
7akwvv,neutral,general_question,,,
1e6r9km,neutral,policy_uncertainty,unknown,,
ie4pb8,very_positive,policy_uncertainty,pursuing,,
vsxs1f,neutral,policy_uncertainty,unknown,,
13pqjk7,negative,policy_uncertainty,considering,,
1h8digf,negative,policy_uncertainty,pursuing,,
14o2plh,neutral,general_question,unknown,,
1rj3qkn,negative,servicer_issues,pursuing,,
1ps0hbb,neutral,financial_planning,pursuing,,
1sydncx,neutral,financial_planning,pursuing,,
1qbf3ei,neutral,financial_planning,pursuing,,
1ogxahy,neutral,financial_planning,pursuing,,
geh5lk,negative,financial_planning,rejecting,,
1ar14hp,neutral,financial_planning,pursuing,,
bonwob,neutral,financial_planning,considering,,
fttuy9,neutral,policy_uncertainty,unknown,,
q4e9qi,neutral,policy_uncertainty,pursuing,,
l3q0my,negative,policy_uncertainty,considering,,
eh50i7,neutral,financial_planning,considering,,
altez3,neutral,general_question,pursuing,,
9rdjpc,neutral,general_question,pursuing,,
n4wkit,neutral,general_question,considering,,
xeip33,neutral,financial_planning,considering,,
1aeuksh,neutral,financial_planning,rejecting,,
1dyn1k4,negative,servicer_issues,pursuing,,
14bsjc0,negative,servicer_issues,pursuing,,
1498ubw,neutral,financial_planning,rejecting,,
wgy1zs,neutral,financial_planning,pursuing,,
t3jmdy,neutral,financial_planning,rejecting,,
shwe8u,neutral,career_impact,unknown,,
uzasxh,neutral,financial_planning,pursuing,,
10j52qz,neutral,financial_planning,considering,,
qvgtyz,neutral,financial_planning,considering,,
1o84qxc,neutral,financial_planning,pursuing,,
1gl153v,neutral,policy_uncertainty,considering,,
fkxjx2,very_negative,policy_uncertainty,rejecting,,
79l11l,neutral,financial_planning,pursuing,,
cme1ls,positive,career_impact,pursuing,,
2zsz1l,neutral,general_question,considering,,
1hkb6yb,negative,servicer_issues,pursuing,,
qrwefk,very_negative,servicer_issues,pursuing,,
gh9gk5,negative,financial_planning,rejecting,,
ewqovr,neutral,financial_planning,pursuing,,
8egde6,neutral,financial_planning,pursuing,,
66qwtg,neutral,financial_planning,pursuing,,
1pcqy65,neutral,general_question,unknown,,
1sb2qcu,neutral,financial_planning,considering,,
18ut7ke,neutral,servicer_issues,pursuing,,
ax9ads,neutral,financial_planning,pursuing,,
1lkrbcd,very_negative,policy_uncertainty,rejecting,,
1sh6e8e,neutral,financial_planning,considering,,
1s8sfng,neutral,financial_planning,considering,,
1t2tzd2,neutral,financial_planning,considering,,
1l1rawo,neutral,financial_planning,pursuing,,
1lg9bmk,neutral,policy_uncertainty,considering,,
1gkwgfa,positive,policy_uncertainty,pursuing,,
1kcbssa,very_negative,policy_uncertainty,unknown,,
zsdzf7,positive,general_question,pursuing,,
14n2cob,neutral,policy_uncertainty,unknown,,
1gntvir,neutral,general_question,considering,,
1d9fgrp,neutral,policy_uncertainty,considering,,
1857z2z,neutral,general_question,unknown,,
u2788e,neutral,financial_planning,considering,,
sdjhez,neutral,financial_planning,considering,,
qcv1pc,neutral,general_question,unknown,,
nhd1io,neutral,general_question,unknown,,
idpq4s,neutral,general_question,considering,,
8tsdj9,neutral,financial_planning,considering,,
7x6sf9,positive,financial_planning,pursuing,,
7n4ze7,negative,policy_uncertainty,considering,,
4eutn5,positive,financial_planning,pursuing,,
4bd4r8,neutral,financial_planning,considering,,
3ptnki,neutral,financial_planning,considering,,
3fmxyv,neutral,financial_planning,considering,,
1vtvm5,neutral,financial_planning,considering,,
20ckm7,negative,policy_uncertainty,considering,,
1cwl6q,neutral,general_question,considering,,
1plduz8,neutral,financial_planning,unknown,,
1f9ri1n,neutral,financial_planning,considering,,
11qcyr1,neutral,financial_planning,unknown,,
5aklf5,neutral,financial_planning,considering,,
1cy2f6,neutral,financial_planning,considering,,
gen150,neutral,financial_planning,considering,,
1room3f,neutral,general_question,considering,,
1sbgizf,neutral,financial_planning,considering,,
1sfe5mu,positive,financial_planning,pursuing,,
1rl6380,positive,financial_planning,pursuing,,
1im19u4,negative,policy_uncertainty,pursuing,,
1g0nbs9,neutral,financial_planning,considering,,
w03fob,positive,general_question,considering,,
wv6pkd,neutral,career_impact,pursuing,,
1jrizvz,negative,financial_planning,considering,,
1gl8qz3,neutral,career_impact,considering,,
1b6ho83,neutral,career_impact,pursuing,,
a753oa,neutral,financial_planning,considering,,
qt1yol,neutral,career_impact,considering,,
xirsc8,neutral,general_question,considering,,
k29zgw,very_negative,career_impact,rejecting,,
dct7q0,positive,career_impact,considering,,
6tay6f,neutral,general_question,pursuing,,
66fba7,neutral,career_impact,pursuing,,
1qu1jdz,neutral,financial_planning,unknown,,
1ja4c27,very_negative,policy_uncertainty,pursuing,,
10kgjp1,neutral,general_question,considering,,
9glrq4,neutral,general_question,considering,,
6i3zqw,neutral,career_impact,pursuing,,
jgoppu,neutral,financial_planning,considering,,
qw5cvp,neutral,general_question,considering,,
rmq375,neutral,policy_uncertainty,unknown,,
b7ow6h,neutral,general_question,considering,,
10kh43u,neutral,general_question,considering,,
15c25gp,neutral,general_question,considering,,
z6f5xy,neutral,financial_planning,considering,,
fwsbl8,neutral,financial_planning,considering,,
j8j54x,neutral,general_question,considering,,
tqd3zy,neutral,financial_planning,considering,,
1d8ffqe,neutral,general_question,unknown,,
1m9isi5,neutral,general_question,unknown,,
1lquina,neutral,general_question,unknown,,
1mnpbzr,neutral,general_question,unknown,,
1sbgm9s,neutral,financial_planning,considering,,
1sj1xim,negative,policy_uncertainty,considering,,
1q5pt2e,positive,career_impact,pursuing,,
16g2efw,neutral,career_impact,pursuing,,
15pgerf,neutral,career_impact,pursuing,,
wxh90b,neutral,career_impact,pursuing,,
1onq3z5,neutral,career_impact,considering,,
d7ixwo,neutral,general_question,unknown,,
1kb3tpj,neutral,general_question,considering,,
1jw7yb7,neutral,general_question,pursuing,,
1fbxgsk,neutral,career_impact,pursuing,,
1e12d27,neutral,financial_planning,considering,,
1bizjoh,neutral,general_question,unknown,,
zu37hv,neutral,career_impact,considering,,
xs0ifv,neutral,general_question,unknown,,
m1m1l0,neutral,general_question,considering,,
fwsb39,neutral,financial_planning,considering,,
cwilmf,neutral,financial_planning,considering,,
1i14rtj,neutral,career_impact,pursuing,,
17vhb8d,neutral,financial_planning,considering,,
g3p6ov,neutral,financial_planning,considering,,
oa8oy1,neutral,general_question,unknown,,
15uksmj,neutral,general_question,unknown,,
1m2m4m1,negative,policy_uncertainty,unknown,,
1lzz3uz,neutral,policy_uncertainty,pursuing,,
1q4bkgk,positive,career_impact,pursuing,,
1q480em,neutral,career_impact,considering,,
1ih2vqe,very_positive,success_story,completed,,
homzkp,very_positive,success_story,completed,,
eg1dri,very_positive,success_story,completed,,
rnp8x7,neutral,career_impact,pursuing,,
uffr7q,very_negative,servicer_issues,pursuing,,
q7sas1,neutral,career_impact,pursuing,,
5cixc5,very_negative,policy_uncertainty,rejecting,,
21iuss,neutral,general_question,pursuing,,
1bp73sl,neutral,policy_uncertainty,pursuing,,
14n5rsi,negative,career_impact,considering,,
1cd9pdj,negative,career_impact,pursuing,,
1blijpn,neutral,financial_planning,considering,,
wipyfm,neutral,financial_planning,considering,,
ruoo69,neutral,career_impact,pursuing,,
15z56qd,neutral,general_question,pursuing,,
5lgd80,neutral,general_question,considering,,
12cmskq,very_positive,success_story,completed,,
krc5d7,neutral,general_question,rejecting,,
wugglx,positive,career_impact,pursuing,,
7hqysn,very_negative,policy_uncertainty,considering,,
99op1n,neutral,general_question,pursuing,,
ht5y6q,neutral,general_question,,,
7hrs64,neutral,policy_uncertainty,considering,,
cjxp4r,neutral,career_impact,pursuing,,
8bshcr,positive,servicer_issues,pursuing,,
9eprrv,neutral,general_question,pursuing,,
1p2js42,neutral,general_question,pursuing,,
1m1hao9,negative,general_question,pursuing,,
sxreuf,neutral,general_question,considering,,
24n16i,very_positive,success_story,completed,,
hqopwy,neutral,financial_planning,considering,,
70ioy5,very_negative,servicer_issues,pursuing,,
efnmim,very_negative,frustration_venting,pursuing,,
5jtmck,neutral,general_question,considering,,
kw9jbv,negative,career_impact,rejecting,,
1el6l3c,neutral,general_question,considering,,
54zjl1,neutral,general_question,considering,,
haqn71,neutral,general_question,considering,,
5pk241,neutral,financial_planning,pursuing,,
2610x1,neutral,general_question,pursuing,,
evz6z9,neutral,general_question,considering,,
bbhrdt,neutral,general_question,pursuing,,
ai1et5,neutral,general_question,considering,,
3l3pc7,very_negative,servicer_issues,rejecting,,
14u8p22,neutral,general_question,pursuing,,
1e9a823,neutral,general_question,unknown,,
1748lk8,neutral,general_question,considering,,
q73q4l,neutral,general_question,,,
1t5ho9c,neutral,general_question,unknown,,
1t006op,neutral,policy_uncertainty,,,
1luua0t,positive,career_impact,pursuing,,
1qn0i26,neutral,financial_planning,considering,,
1p0h2nw,neutral,career_impact,pursuing,,
1bi3w5e,very_positive,career_impact,pursuing,,
1j8hzb3,negative,policy_uncertainty,considering,,
62la7n,negative,policy_uncertainty,considering,,
85xn6u,neutral,career_impact,considering,,
826x3t,neutral,general_question,considering,,
a8qg5f,neutral,financial_planning,considering,,
1dha3ki,positive,career_impact,pursuing,,
8rjh5t,positive,financial_planning,pursuing,,
1i7f924,positive,financial_planning,considering,,
