post_id,pslf_sentiment,primary_topic,pslf_stance,raw_response,error
1ohigdz,very_positive,servicer_issues,pursuing,,
1px5dbt,very_positive,success_story,completed,,
1okdd3t,positive,servicer_issues,pursuing,,
1mc9z31,very_negative,servicer_issues,pursuing,,
1t5i10n,negative,servicer_issues,pursuing,,
16mriv5,positive,policy_uncertainty,considering,,
q28msw,neutral,policy_uncertainty,unknown,,
rc90d3,neutral,policy_uncertainty,pursuing,,
q6kwst,positive,policy_uncertainty,pursuing,,
1s94ge1,negative,servicer_issues,pursuing,,
1rjrt16,positive,general_question,pursuing,,
1p2oevd,positive,financial_planning,pursuing,,
1l8eyel,negative,financial_planning,pursuing,,
1pjc4ex,neutral,general_question,pursuing,,
1sy5zrn,negative,servicer_issues,pursuing,,
199f1ky,very_positive,success_story,completed,,
14n280k,negative,policy_uncertainty,unknown,,
wwhr85,neutral,policy_uncertainty,unknown,,
jfcjmz,very_positive,success_story,completed,,
1jtpwqr,negative,policy_uncertainty,pursuing,,
7akwvv,neutral,general_question,unknown,,
1e6r9km,neutral,policy_uncertainty,unknown,,
ie4pb8,positive,policy_uncertainty,pursuing,,
vsxs1f,neutral,policy_uncertainty,unknown,,
13pqjk7,negative,policy_uncertainty,considering,,
1h8digf,negative,policy_uncertainty,considering,,
14o2plh,neutral,financial_planning,pursuing,,
1rj3qkn,negative,servicer_issues,pursuing,,
1ps0hbb,positive,financial_planning,pursuing,,
1sydncx,positive,financial_planning,pursuing,,
1qbf3ei,neutral,financial_planning,pursuing,,
1ogxahy,neutral,financial_planning,considering,,
geh5lk,negative,financial_planning,considering,,
1ar14hp,neutral,servicer_issues,pursuing,,
bonwob,neutral,financial_planning,considering,,
fttuy9,positive,policy_uncertainty,pursuing,,
q4e9qi,neutral,policy_uncertainty,pursuing,,
l3q0my,negative,policy_uncertainty,considering,,
eh50i7,neutral,financial_planning,considering,,
altez3,neutral,financial_planning,pursuing,,
9rdjpc,neutral,general_question,pursuing,,
n4wkit,neutral,general_question,considering,,
xeip33,neutral,financial_planning,considering,,
1aeuksh,neutral,financial_planning,rejecting,,
1dyn1k4,negative,servicer_issues,pursuing,,
14bsjc0,negative,servicer_issues,pursuing,,
1498ubw,negative,financial_planning,rejecting,,
wgy1zs,positive,financial_planning,pursuing,,
t3jmdy,neutral,financial_planning,considering,,
shwe8u,neutral,career_impact,unknown,,
uzasxh,neutral,financial_planning,pursuing,,
10j52qz,neutral,financial_planning,pursuing,,
qvgtyz,neutral,financial_planning,considering,,
1o84qxc,neutral,financial_planning,pursuing,,
1gl153v,negative,policy_uncertainty,considering,,
fkxjx2,very_negative,frustration_venting,pursuing,,
79l11l,positive,financial_planning,pursuing,,
cme1ls,negative,career_impact,pursuing,,
2zsz1l,neutral,financial_planning,considering,,
1hkb6yb,negative,servicer_issues,pursuing,,
qrwefk,negative,servicer_issues,pursuing,,
gh9gk5,negative,financial_planning,considering,,
ewqovr,neutral,financial_planning,pursuing,,
8egde6,neutral,financial_planning,pursuing,,
66qwtg,neutral,financial_planning,considering,,
1pcqy65,neutral,financial_planning,pursuing,,
1sb2qcu,neutral,financial_planning,considering,,
18ut7ke,neutral,servicer_issues,pursuing,,
ax9ads,neutral,financial_planning,considering,,
1lkrbcd,positive,policy_uncertainty,unknown,,
1sh6e8e,negative,financial_planning,considering,,
1s8sfng,neutral,financial_planning,considering,,
1t2tzd2,positive,career_impact,considering,,
1l1rawo,neutral,financial_planning,pursuing,,
1lg9bmk,negative,policy_uncertainty,considering,,
1gkwgfa,positive,policy_uncertainty,pursuing,,
1kcbssa,very_negative,policy_uncertainty,pursuing,,
zsdzf7,positive,general_question,pursuing,,
14n2cob,neutral,policy_uncertainty,unknown,,
1gntvir,neutral,career_impact,considering,,
1d9fgrp,neutral,policy_uncertainty,considering,,
1857z2z,neutral,general_question,considering,,
u2788e,negative,financial_planning,considering,,
sdjhez,neutral,financial_planning,considering,,
qcv1pc,neutral,career_impact,unknown,,
nhd1io,neutral,career_impact,unknown,,
idpq4s,neutral,general_question,considering,,
8tsdj9,neutral,financial_planning,considering,,
7x6sf9,positive,financial_planning,pursuing,,
7n4ze7,negative,policy_uncertainty,considering,,
4eutn5,positive,financial_planning,considering,,
4bd4r8,neutral,career_impact,considering,,
3ptnki,positive,financial_planning,pursuing,,
3fmxyv,positive,financial_planning,considering,,
1vtvm5,neutral,financial_planning,considering,,
20ckm7,negative,policy_uncertainty,considering,,
1cwl6q,neutral,career_impact,considering,,
1plduz8,neutral,policy_uncertainty,pursuing,,
1f9ri1n,negative,frustration_venting,considering,,
11qcyr1,positive,financial_planning,considering,,
5aklf5,neutral,financial_planning,considering,,
1cy2f6,neutral,financial_planning,considering,,
gen150,positive,financial_planning,pursuing,,
1room3f,neutral,career_impact,considering,,
1sbgizf,neutral,financial_planning,considering,,
1sfe5mu,positive,financial_planning,considering,,
1rl6380,positive,financial_planning,pursuing,,
1im19u4,negative,policy_uncertainty,pursuing,,
1g0nbs9,neutral,career_impact,considering,,
w03fob,neutral,general_question,considering,,
wv6pkd,neutral,career_impact,pursuing,,
1jrizvz,negative,financial_planning,considering,,
1gl8qz3,neutral,career_impact,considering,,
1b6ho83,positive,career_impact,completed,,
a753oa,neutral,financial_planning,considering,,
qt1yol,neutral,career_impact,pursuing,,
xirsc8,neutral,success_story,considering,,
k29zgw,very_negative,career_impact,rejecting,,
dct7q0,positive,career_impact,considering,,
6tay6f,positive,career_impact,pursuing,,
66fba7,negative,career_impact,pursuing,,
1qu1jdz,neutral,financial_planning,unknown,,
1ja4c27,very_negative,policy_uncertainty,pursuing,,
10kgjp1,positive,general_question,considering,,
9glrq4,neutral,general_question,considering,,
6i3zqw,negative,career_impact,pursuing,,
jgoppu,neutral,financial_planning,considering,,
qw5cvp,neutral,general_question,unknown,,
rmq375,negative,policy_uncertainty,considering,,
b7ow6h,neutral,general_question,considering,,
10kh43u,positive,general_question,considering,,
15c25gp,neutral,general_question,unknown,,
z6f5xy,neutral,career_impact,considering,,
fwsbl8,neutral,financial_planning,considering,,
j8j54x,neutral,financial_planning,considering,,
tqd3zy,neutral,financial_planning,considering,,
1d8ffqe,neutral,general_question,considering,,
1m9isi5,neutral,career_impact,unknown,,
1lquina,neutral,general_question,unknown,,
1mnpbzr,neutral,general_question,unknown,,
1sbgm9s,neutral,financial_planning,considering,,
1sj1xim,negative,financial_planning,considering,,
1q5pt2e,positive,career_impact,considering,,
16g2efw,positive,career_impact,pursuing,,
15pgerf,positive,career_impact,pursuing,,
wxh90b,positive,career_impact,pursuing,,
1onq3z5,neutral,career_impact,considering,,
d7ixwo,neutral,general_question,unknown,,
1kb3tpj,neutral,general_question,considering,,
1jw7yb7,neutral,general_question,unknown,,
1fbxgsk,neutral,career_impact,pursuing,,
1e12d27,neutral,financial_planning,considering,,
1bizjoh,neutral,general_question,unknown,,
zu37hv,positive,career_impact,considering,,
xs0ifv,neutral,general_question,unknown,,
m1m1l0,neutral,general_question,unknown,,
fwsb39,neutral,financial_planning,considering,,
cwilmf,neutral,career_impact,considering,,
1i14rtj,positive,career_impact,considering,,
17vhb8d,neutral,financial_planning,considering,,
g3p6ov,neutral,financial_planning,considering,,
oa8oy1,neutral,career_impact,unknown,,
15uksmj,neutral,general_question,unknown,,
1m2m4m1,negative,policy_uncertainty,unknown,,
1lzz3uz,neutral,policy_uncertainty,pursuing,,
1q4bkgk,positive,career_impact,pursuing,,
1q480em,positive,career_impact,considering,,
1ih2vqe,very_positive,success_story,completed,,
homzkp,very_positive,success_story,completed,,
eg1dri,very_positive,success_story,completed,,
rnp8x7,negative,career_impact,pursuing,,
uffr7q,negative,servicer_issues,pursuing,,
q7sas1,neutral,career_impact,pursuing,,
5cixc5,negative,policy_uncertainty,considering,,
21iuss,positive,career_impact,pursuing,,
1bp73sl,neutral,policy_uncertainty,pursuing,,
14n5rsi,negative,career_impact,considering,,
1cd9pdj,negative,frustration_venting,pursuing,,
1blijpn,negative,financial_planning,considering,,
wipyfm,neutral,financial_planning,considering,,
ruoo69,negative,frustration_venting,pursuing,,
15z56qd,neutral,general_question,unknown,,
5lgd80,neutral,general_question,considering,,
12cmskq,very_positive,success_story,completed,,
krc5d7,neutral,general_question,rejecting,,
wugglx,positive,career_impact,pursuing,,
7hqysn,very_negative,frustration_venting,pursuing,,
99op1n,positive,financial_planning,pursuing,,
ht5y6q,neutral,career_impact,considering,,
7hrs64,neutral,general_question,considering,,
cjxp4r,positive,career_impact,pursuing,,
8bshcr,positive,servicer_issues,pursuing,,
9eprrv,positive,career_impact,pursuing,,
1p2js42,neutral,success_story,completed,,
1m1hao9,neutral,general_question,pursuing,,
sxreuf,neutral,general_question,considering,,
24n16i,very_positive,success_story,completed,,
hqopwy,neutral,general_question,considering,,
70ioy5,very_negative,servicer_issues,pursuing,,
efnmim,negative,servicer_issues,pursuing,,
5jtmck,neutral,general_question,considering,,
kw9jbv,negative,career_impact,considering,,
1el6l3c,neutral,general_question,considering,,
54zjl1,neutral,general_question,considering,,
haqn71,neutral,general_question,considering,,
5pk241,neutral,financial_planning,considering,,
2610x1,neutral,general_question,pursuing,,
evz6z9,negative,general_question,considering,,
bbhrdt,neutral,financial_planning,considering,,
ai1et5,neutral,general_question,unknown,,
3l3pc7,very_negative,servicer_issues,rejecting,,
14u8p22,neutral,general_question,considering,,
1e9a823,neutral,general_question,considering,,
1748lk8,neutral,financial_planning,considering,,
q73q4l,neutral,general_question,considering,,
1t5ho9c,very_negative,servicer_issues,unknown,,
1t006op,neutral,policy_uncertainty,unknown,,
1luua0t,positive,career_impact,pursuing,,
1qn0i26,neutral,financial_planning,considering,,
1p0h2nw,negative,career_impact,considering,,
1bi3w5e,very_positive,career_impact,pursuing,,
1j8hzb3,negative,policy_uncertainty,considering,,
62la7n,negative,policy_uncertainty,considering,,
85xn6u,neutral,career_impact,considering,,
826x3t,neutral,general_question,considering,,
a8qg5f,neutral,financial_planning,considering,,
1dha3ki,positive,career_impact,pursuing,,
8rjh5t,positive,financial_planning,pursuing,,
1i7f924,neutral,financial_planning,considering,,
mha043,neutral,financial_planning,considering,,
hum9n5,neutral,general_question,unknown,,
w3ziax,negative,career_impact,rejecting,,
hk31tk,neutral,career_impact,pursuing,,
12x0omc,positive,career_impact,considering,,
lkhwpb,neutral,financial_planning,considering,,
1o0sw6,negative,financial_planning,considering,,
wxk3hw,neutral,policy_uncertainty,considering,,
38drmj,positive,career_impact,considering,,
owq3l2,negative,career_impact,considering,,
7hb7u3,positive,career_impact,pursuing,,
1zorqk,negative,policy_uncertainty,considering,,
fp5b5w,neutral,financial_planning,considering,,
dt0sym,positive,career_impact,considering,,
b2amv6,negative,financial_planning,considering,,
53cy1k,neutral,financial_planning,considering,,
4oad3r,positive,financial_planning,considering,,
qhwfux,very_positive,success_story,completed,,
1dukpyq,neutral,general_question,considering,,
hxclbw,neutral,general_question,considering,,
1encg64,positive,career_impact,pursuing,,
hwouw,very_positive,financial_planning,pursuing,,
1c72su,neutral,financial_planning,unknown,,
4cw8mm,neutral,general_question,considering,,
5gifm4,positive,career_impact,considering,,
18tvyfs,positive,financial_planning,considering,,
wwrwj3,negative,policy_uncertainty,considering,,
14o3con,negative,policy_uncertainty,considering,,
heia7m,negative,policy_uncertainty,considering,,
1jgp0ml,negative,policy_uncertainty,considering,,
1itlnp,neutral,financial_planning,considering,,
qne6n4,neutral,policy_uncertainty,unknown,,
175dt7f,positive,financial_planning,pursuing,,
14n4mq1,negative,policy_uncertainty,unknown,,
1roht5q,positive,general_question,considering,,
1lusrzs,very_negative,policy_uncertainty,pursuing,,
1n8uf23,negative,policy_uncertainty,pursuing,,
